symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar
LLY,2021-04-19,2021-04-27,181.37881469726562,174.27249145507812,48,-3.9179455737697197,-341.103515625
CSCO,2021-03-11,2021-04-28,42.705806732177734,45.04798889160156,206,5.484458294190363,482.4895248413086
MSFT,2021-04-08,2021-04-28,244.4201202392578,245.6844482421875,35,0.5172765653220622,44.25148010253906
TSLA,2021-04-13,2021-04-29,254.10667419433594,225.6666717529297,34,-11.192150907321654,-966.9600830078125
LIN,2021-03-26,2021-04-30,265.5679016113281,269.75811767578125,32,1.577832275297229,134.0869140625
INTU,2021-04-05,2021-05-04,391.0591125488281,387.21905517578125,22,-0.9819634039514681,-84.48126220703125
MA,2021-04-28,2021-05-04,386.0579528808594,366.7965393066406,22,-4.989254444957123,-423.7510986328125
ACN,2021-03-26,2021-05-06,263.5423889160156,274.1407470703125,32,4.021500373389386,339.1474609375
ISRG,2021-04-21,2021-05-06,297.1266784667969,280.82000732421875,29,-5.48812083341764,-472.8934631347656
V,2021-04-28,2021-05-10,226.33004760742188,219.07814025878906,38,-3.2041292905180327,-275.5724792480469
GOOGL,2021-04-01,2021-05-11,105.85415649414062,112.82633972167969,81,6.586593723341412,564.7468414306641
GOOG,2021-04-01,2021-05-11,106.25590515136719,114.75587463378906,80,7.999526680717854,679.99755859375
SPGI,2021-04-30,2021-05-11,376.75885009765625,366.4131774902344,23,-2.7459667117946314,-237.95046997070312
BX,2021-03-11,2021-05-12,64.0758285522461,73.65950775146484,137,14.956777642608893,1312.9640502929688
SCHW,2021-04-27,2021-05-12,65.82361602783203,65.33210754394531,132,-0.7467053825771217,-64.87911987304688
HD,2021-05-04,2021-05-12,300.0679626464844,285.84771728515625,29,-4.739008201978983,-412.3871154785156
RTX,2021-04-22,2021-05-13,71.22938537597656,75.78864288330078,122,6.400809838886961,556.2294158935547
AXP,2021-04-29,2021-05-13,146.68557739257812,146.163818359375,59,-0.35569893269515435,-30.783782958984375
T,2021-04-22,2021-05-17,17.906618118286133,17.912328720092773,485,0.03189101241182439,2.769641876220703
UNH,2021-04-16,2021-05-19,366.4180603027344,383.74517822265625,23,4.728783812022317,398.5237121582031
IBM,2021-04-22,2021-05-19,112.65122985839844,115.44988250732422,77,2.484351615551523,215.49625396728516
XOM,2021-05-04,2021-05-19,50.09025955200195,50.63966369628906,175,1.0968283039474716,96.14572525024414
CVX,2021-05-10,2021-05-19,91.86043548583984,87.5790786743164,96,-4.660719045016287,-411.01025390625
PGR,2021-05-14,2021-05-19,101.93818664550781,96.13219451904297,84,-5.695600753283265,-487.7033386230469
WFC,2021-04-14,2021-05-20,37.960426330566406,41.431697845458984,230,9.144448180492242,798.392448425293
ABBV,2021-04-16,2021-05-25,91.58326721191406,97.22711181640625,95,6.162528130201911,536.1652374267578
JPM,2021-05-14,2021-06-10,146.64703369140625,143.4192352294922,58,-2.2010663159450026,-187.21231079101562
BAC,2021-05-18,2021-06-11,37.954341888427734,37.842899322509766,229,-0.2936227065814242,-25.520347595214844
MS,2021-05-06,2021-06-14,75.69776153564453,79.08901977539062,115,4.479998048752366,389.9946975708008
SCHW,2021-05-14,2021-06-14,69.41655731201172,68.24144744873047,124,-1.692838004050528,-145.713623046875
BA,2021-05-25,2021-06-14,240.74000549316406,245.13999938964844,35,1.8276953543599195,153.99978637695312
GS,2021-04-26,2021-06-15,309.40972900390625,335.5607604980469,28,8.451909892532976,732.2288818359375
ORCL,2021-06-02,2021-06-16,75.61417388916016,72.60919952392578,115,-3.974088733203974,-345.5720520019531
RTX,2021-05-21,2021-06-17,78.09242248535156,79.29369354248047,109,1.5382683990296735,130.93854522705078
AXP,2021-06-01,2021-06-17,155.34646606445312,153.8002471923828,55,-0.9953357235875501,-85.04203796386719
CVX,2021-06-15,2021-06-17,93.60437774658203,90.86328887939453,94,-2.928376784479603,-257.662353515625
TXN,2021-05-26,2021-06-18,167.99208068847656,163.27410888671875,51,-2.8084489354630886,-240.61656188964844
XOM,2021-06-15,2021-06-18,55.233131408691406,51.8588752746582,160,-6.109116119210715,-539.8809814453125
META,2021-05-27,2021-06-21,330.9344787597656,330.47698974609375,26,-0.13824156835709425,-11.89471435546875
LLY,2021-05-13,2021-06-23,187.27183532714844,208.5601806640625,45,11.367617185854499,957.9755401611328
AVGO,2021-05-28,2021-07-02,42.978755950927734,42.93368148803711,201,-0.10487614611760775,-9.059967041015625
BX,2021-05-21,2021-07-06,79.28663635253906,85.22834014892578,108,7.493953672050867,641.7040100097656
XOM,2021-06-25,2021-07-07,55.51646041870117,51.86745071411133,159,-6.572842859701922,-580.1925430297852
TXN,2021-06-29,2021-07-08,172.02334594726562,167.88507080078125,51,-2.4056473984368254,-211.05203247070312
PM,2021-04-20,2021-07-13,76.18328857421875,80.15141296386719,114,5.208654632679238,452.3661804199219
NVDA,2021-05-28,2021-07-15,16.20635223388672,18.926048278808594,535,16.781666877726618,1455.0373840332031
META,2021-06-23,2021-07-15,338.731689453125,342.58056640625,25,1.1362612572029882,96.221923828125
TMUS,2021-05-06,2021-07-19,135.31275939941406,140.8955535888672,64,4.125844609357142,357.298828125
SPGI,2021-06-14,2021-07-19,383.3086853027344,395.6675109863281,23,3.2242487993281026,284.25299072265625
LLY,2021-06-24,2021-07-19,223.80589294433594,224.92987060546875,39,0.5022109321367885,43.83512878417969
AXP,2021-06-24,2021-07-19,159.56785583496094,154.8482666015625,55,-2.9577318117753304,-259.57740783691406
GS,2021-07-12,2021-07-19,343.87518310546875,320.57659912109375,25,-6.775302530985254,-582.464599609375
UNH,2021-07-07,2021-07-28,387.18218994140625,384.8402404785156,23,-0.6048701422048987,-53.864837646484375
V,2021-07-16,2021-08-02,240.9020233154297,232.8046417236328,36,-3.361275874878981,-291.5057373046875
BX,2021-07-12,2021-08-12,89.0642318725586,99.77230834960938,100,12.022869621076277,1070.8076477050781
AXP,2021-07-23,2021-08-16,164.711181640625,157.64450073242188,54,-4.290346798447211,-381.60076904296875
HD,2021-07-01,2021-08-17,291.4619445800781,290.7458801269531,30,-0.24568025652771416,-21.48193359375
CSCO,2021-07-16,2021-08-18,47.660789489746094,48.94771957397461,186,2.700186249548783,239.3689956665039
SPGI,2021-07-21,2021-08-18,403.3169250488281,415.8304748535156,21,3.102659230869751,262.7845458984375
RTX,2021-07-27,2021-08-18,80.28565979003906,77.79210662841797,112,-3.1058512418558535,-279.2779541015625
AMD,2021-08-02,2021-08-18,108.62999725341797,103.44000244140625,82,-4.7776810671404295,-425.57957458496094
GOOGL,2021-06-02,2021-08-19,117.8228759765625,134.87112426757812,73,14.469387332224763,1244.5221252441406
GOOG,2021-06-10,2021-08-19,125.3349838256836,136.10446166992188,70,8.59255533891201,753.8634490966797
ORCL,2021-07-07,2021-08-19,81.09661102294922,83.8729019165039,109,3.4234363909103864,302.61570739746094
META,2021-07-23,2021-08-19,367.77239990234375,353.1824035644531,24,-3.967126500456471,-350.159912109375
LLY,2021-08-17,2021-08-25,262.8285827636719,254.3089141845703,34,-3.2415304642730627,-289.6687316894531
PEP,2021-08-19,2021-08-25,141.00985717773438,137.7177734375,63,-2.3346479502386157,-207.40127563476562
WFC,2021-07-29,2021-08-31,42.12933349609375,41.58474349975586,213,-1.292662264377824,-115.9976692199707
UNH,2021-08-19,2021-09-01,402.4471435546875,392.5338439941406,22,-2.4632550433793257,-218.09259033203125
GS,2021-08-12,2021-09-09,375.0544128417969,367.41400146484375,24,-2.037147441903571,-183.369873046875
CSCO,2021-08-19,2021-09-09,50.829288482666016,52.00971603393555,176,2.3223373501914844,207.7552490234375
BAC,2021-08-26,2021-09-09,38.00564193725586,37.1917724609375,240,-2.1414438352652745,-195.32867431640625
MSFT,2021-06-11,2021-09-10,249.47314453125,286.6063232421875,35,14.884639699679598,1299.6612548828125
ISRG,2021-07-20,2021-09-10,318.3500061035156,341.15667724609375,27,7.1640240946507925,615.7801208496094
LIN,2021-08-18,2021-09-10,293.50311279296875,295.00128173828125,31,0.5104439714645475,46.4432373046875
GOOGL,2021-08-23,2021-09-10,139.20664978027344,140.03614807128906,65,0.595875478883316,53.917388916015625
GOOG,2021-08-23,2021-09-10,140.2657470703125,141.08238220214844,64,0.5822056695185704,52.2646484375
CRM,2021-08-26,2021-09-10,265.4638977050781,254.9658660888672,34,-3.9545986128305533,-356.9330749511719
INTU,2021-05-20,2021-09-13,423.88421630859375,543.47265625,20,28.21252486890056,2391.768798828125
ADBE,2021-07-06,2021-09-13,596.9000244140625,645.1500244140625,14,8.08343072985528,675.5
NVDA,2021-08-20,2021-09-13,20.771875381469727,22.108943939208984,434,6.436917866992579,580.2877540588379
MS,2021-07-12,2021-09-14,80.85877990722656,89.49651336669922,110,10.682492945581386,950.1506805419922
PM,2021-07-29,2021-09-14,82.26778411865234,83.63768768310547,109,1.6651762036976154,149.31948852539062
META,2021-09-01,2021-09-15,379.9654846191406,371.8798828125,24,-2.1279832337258866,-194.054443359375
ACN,2021-07-07,2021-09-17,291.51226806640625,316.68621826171875,30,8.635640058063661,755.218505859375
COST,2021-08-16,2021-09-20,432.2650451660156,430.62335205078125,21,-0.3797885426067395,-34.475555419921875
BX,2021-08-24,2021-09-20,103.78956604003906,108.96717071533203,87,4.988559903310122,450.4516067504883
SPGI,2021-09-09,2021-09-20,437.28509521484375,430.96875,21,-1.4444455765729791,-132.64324951171875
NOW,2021-08-31,2021-09-28,643.6400146484375,612.52001953125,14,-4.835000063534824,-435.679931640625
INTU,2021-09-24,2021-09-28,563.459716796875,531.373046875,16,-5.694580990506215,-513.38671875
COST,2021-09-27,2021-09-28,439.6148681640625,427.0055847167969,20,-2.8682568221418507,-252.1856689453125
HD,2021-09-13,2021-09-30,305.6166687011719,299.0661315917969,29,-2.1433834539241157,-189.965576171875
