date,portfolio_value,cash,positions,total_value
2020-04-07 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-08 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-09 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-13 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-14 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-15 10:30:00-04:00,90704.21155357361,90704.21155357361,0,90704.21155357361
2020-04-16 10:30:00-04:00,91229.71559715271,77271.01523399353,1,91229.71559715271
2020-04-17 10:30:00-04:00,91386.3788356781,77271.01523399353,1,91386.3788356781
2020-04-20 10:30:00-04:00,91490.12721061707,65620.00530052185,2,91490.12721061707
2020-04-21 10:30:00-04:00,91577.90489768982,65620.00530052185,2,91577.90489768982
2020-04-22 10:30:00-04:00,91145.29500389099,65620.00530052185,2,91145.29500389099
2020-04-23 10:30:00-04:00,91324.17609977722,65620.00530052185,2,91324.17609977722
2020-04-24 10:30:00-04:00,91203.09442710876,55857.49496269226,3,91203.09442710876
2020-04-27 10:30:00-04:00,91736.04533195496,55857.49496269226,3,91736.04533195496
2020-04-28 10:30:00-04:00,91478.51022911072,55857.49496269226,3,91478.51022911072
2020-04-29 10:30:00-04:00,89780.86445426941,38960.69466972351,5,89780.86445426941
2020-04-30 10:30:00-04:00,90616.10230827332,38960.69466972351,5,90616.10230827332
2020-05-01 10:30:00-04:00,89286.12405204773,33191.654737472534,6,89286.12405204773
2020-05-04 10:30:00-04:00,88974.50594139099,39034.894804000854,6,88974.50594139099
2020-05-05 10:30:00-04:00,90286.98576927185,33379.57485771179,7,90286.98576927185
2020-05-06 10:30:00-04:00,91208.18298149109,33379.57485771179,7,91208.18298149109
2020-05-07 10:30:00-04:00,92516.78814315796,23690.36617851257,9,92516.78814315796
2020-05-08 10:30:00-04:00,92968.35000610352,23690.36617851257,9,92968.35000610352
2020-05-11 10:30:00-04:00,92975.82771110535,16784.486135482784,11,92975.82771110535
2020-05-12 10:30:00-04:00,95183.97851657867,16784.486135482784,11,95183.97851657867
2020-05-13 10:30:00-04:00,93564.83941078186,16784.486135482784,11,93564.83941078186
2020-05-14 10:30:00-04:00,91588.91046524048,16784.486135482784,11,91588.91046524048
2020-05-15 10:30:00-04:00,91903.92740631104,24421.406332015988,10,91903.92740631104
2020-05-18 10:30:00-04:00,93757.37540435791,29038.993179321285,9,93757.37540435791
2020-05-19 10:30:00-04:00,93720.66254425049,15727.32331848144,12,93720.66254425049
2020-05-20 10:30:00-04:00,94707.97951507568,15727.32331848144,12,94707.97951507568
2020-05-21 10:30:00-04:00,95012.26254272461,15727.32331848144,12,95012.26254272461
2020-05-22 10:30:00-04:00,94672.05415344238,20289.523330688473,11,94672.05415344238
2020-05-26 10:30:00-04:00,95726.00384521484,20289.523330688473,11,95726.00384521484
2020-05-27 10:30:00-04:00,94143.92366790771,20289.523330688473,11,94143.92366790771
2020-05-28 10:30:00-04:00,94552.71659851074,20289.523330688473,11,94552.71659851074
2020-05-29 10:30:00-04:00,95319.23635864258,20289.523330688473,11,95319.23635864258
2020-06-01 10:30:00-04:00,96338.87342071533,20289.523330688473,11,96338.87342071533
2020-06-02 10:30:00-04:00,96722.55342102051,20289.523330688473,11,96722.55342102051
2020-06-03 10:30:00-04:00,97664.70302581787,20289.523330688473,11,97664.70302581787
2020-06-04 10:30:00-04:00,97503.55156707764,20289.523330688473,11,97503.55156707764
2020-06-05 10:30:00-04:00,97521.90855407715,20289.523330688473,11,97521.90855407715
2020-06-08 10:30:00-04:00,97197.85329437256,30505.923477172848,10,97197.85329437256
2020-06-09 10:30:00-04:00,97820.05153656006,30505.923477172848,10,97820.05153656006
2020-06-10 10:30:00-04:00,98839.10329437256,30505.923477172848,10,98839.10329437256
2020-06-11 10:30:00-04:00,97630.24969482422,30505.923477172848,10,97630.24969482422
2020-06-12 10:30:00-04:00,96841.87241363525,30505.923477172848,10,96841.87241363525
2020-06-15 10:30:00-04:00,94987.09316253662,30505.923477172848,10,94987.09316253662
2020-06-16 10:30:00-04:00,97427.33319091797,39483.743576049805,8,97427.33319091797
2020-06-17 10:30:00-04:00,97793.94876098633,21582.533462524414,11,97793.94876098633
