timestamp,strategy,universe,period,cagr,benchmark_cagr,alpha,sharpe,sortino,calmar,max_drawdown_pct,win_rate,avg_win_pct,avg_loss_pct,profit_factor,avg_r_multiple,exposure_pct,turnover,total_trades
2026-06-04 17:53:34,Buy & Hold (^AXJO),asx300,full,4.24,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-06-04 17:53:34,Buy & Hold (^AXJO),asx300,bear2022,-7.29,-7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-06-04 17:53:35,Buy & Hold (^AXJO),asx300,bull2021,12.45,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-06-04 17:56:24,Conservative Growth (Minervini),asx300,full,5.08,4.24,0.84,0.29,0.42,0.56,-9.0,32.31,10.95,-3.63,1.44,-0.47,81.53,52.33,260
2026-06-04 17:58:40,Conservative Growth (Minervini),asx300,bear2022,-4.93,-7.29,2.36,-1.25,-1.54,-0.93,-5.28,18.52,14.85,-5.61,0.6,-0.71,48.08,5.36,27
2026-06-04 18:01:03,Conservative Growth (Minervini),asx300,bull2021,8.63,12.45,-3.82,0.55,0.76,1.58,-5.46,37.31,9.02,-3.33,1.61,-0.38,99.62,13.5,67
2026-06-04 18:03:50,Turtle ATR-Based,asx300,full,2.9,4.24,-1.34,-0.01,-0.02,0.49,-5.91,32.66,9.49,-3.22,1.43,-0.46,75.79,33.22,199
2026-06-04 18:06:02,Turtle ATR-Based,asx300,bear2022,-1.15,-7.29,6.14,-0.83,-1.01,-0.27,-4.29,21.74,10.93,-3.8,0.8,-0.53,40.77,3.81,23
2026-06-04 18:08:20,Turtle ATR-Based,asx300,bull2021,4.57,12.45,-7.88,0.25,0.32,1.52,-3.0,38.1,7.84,-2.72,1.77,-0.33,95.02,7.02,42
2026-06-04 18:10:55,Qullamaggie Aggressive,asx300,full,-1.32,4.24,-5.56,-3.11,-3.88,-0.19,-6.92,32.61,5.76,-5.87,0.47,-0.29,32.64,6.11,46
2026-06-04 18:13:07,Qullamaggie Aggressive,asx300,bear2022,-1.89,-7.29,5.4,-4.03,-4.26,-0.95,-1.99,0.0,0.0,-7.01,0.0,-0.94,18.08,0.52,4
2026-06-04 18:15:38,Qullamaggie Aggressive,asx300,bull2021,-1.59,12.45,-14.04,-2.94,-3.58,-0.76,-2.1,25.0,4.75,-5.51,0.29,-0.42,35.63,1.06,8
2026-06-04 18:18:33,Hybrid Balanced,asx300,full,2.31,4.24,-1.93,-0.12,-0.17,0.33,-6.99,29.29,9.83,-3.03,1.34,-0.53,76.32,33.02,198
2026-06-04 18:20:49,Hybrid Balanced,asx300,bear2022,-3.49,-7.29,3.8,-1.34,-1.6,-0.58,-6.04,13.64,7.67,-3.42,0.35,-0.61,49.23,3.62,22
2026-06-04 18:23:03,Hybrid Balanced,asx300,bull2021,2.29,12.45,-10.16,-0.12,-0.14,0.66,-3.46,26.67,9.68,-2.69,1.31,-0.51,94.64,7.5,45
2026-06-04 18:25:33,High Conviction Only,asx300,full,-3.47,4.24,-7.71,-0.96,-1.17,-0.15,-23.84,21.92,6.56,-3.74,0.49,-0.42,63.3,21.76,73
2026-06-04 18:27:41,High Conviction Only,asx300,bear2022,-2.66,-7.29,4.63,-1.97,-2.2,-0.7,-3.82,0.0,0.0,-4.42,0.0,-1.05,25.77,1.17,4
2026-06-04 18:29:51,High Conviction Only,asx300,bull2021,-4.12,12.45,-16.57,-1.04,-1.39,-0.73,-5.62,22.22,5.92,-3.65,0.46,-0.34,80.08,5.36,18
2026-06-04 18:32:24,VCP (Volatility Contraction Pattern),asx300,full,1.76,4.24,-2.48,-0.44,-0.61,0.54,-3.25,32.65,9.68,-2.4,1.93,-0.39,36.55,12.15,49
2026-06-04 18:34:32,VCP (Volatility Contraction Pattern),asx300,bear2022,-0.4,-7.29,6.89,-1.03,-1.2,-0.12,-3.38,20.0,10.93,-3.66,0.77,-0.41,11.15,1.23,5
2026-06-04 18:36:41,VCP (Volatility Contraction Pattern),asx300,bull2021,0.14,12.45,-12.31,-0.95,-1.33,0.07,-1.94,27.27,6.33,-2.25,1.06,-0.37,54.79,2.64,11
2026-06-04 18:39:10,Conviction (Pure Technical),asx300,full,1.61,4.24,-2.63,-0.35,-0.5,0.23,-7.13,49.79,6.34,-5.26,1.2,0.07,71.65,32.14,239
2026-06-04 18:41:22,Conviction (Pure Technical),asx300,bear2022,-1.75,-7.29,5.54,-1.57,-2.01,-0.51,-3.42,40.0,7.35,-6.63,0.74,-0.17,37.69,3.34,25
2026-06-04 18:43:34,Conviction (Pure Technical),asx300,bull2021,2.92,12.45,-9.53,-0.03,-0.04,1.49,-1.96,58.49,5.39,-5.62,1.35,0.18,88.51,7.14,53
2026-06-04 18:46:06,5LC (5-Level Conviction),asx300,full,1.91,4.24,-2.33,-0.19,-0.24,0.24,-7.91,32.8,10.19,-4.02,1.24,-0.48,77.85,31.01,186
2026-06-04 18:48:11,5LC (5-Level Conviction),asx300,bear2022,-0.95,-7.29,6.34,-0.85,-1.07,-0.23,-4.2,25.0,11.06,-4.44,0.83,-0.49,41.92,3.31,20
2026-06-04 18:50:21,5LC (5-Level Conviction),asx300,bull2021,4.57,12.45,-7.88,0.25,0.31,1.5,-3.04,40.48,8.33,-3.48,1.63,-0.36,98.85,7.02,42
