rank,strategy,universe,period,cagr,benchmark_cagr,alpha,calmar,sharpe,sortino,max_drawdown_pct,win_rate,profit_factor,exposure_pct,turnover,total_trades,score
7,High Conviction Only,nasdaq100,bear2022,-2.24,-33.31,31.07,-0.81,-2.55,-3.05,-2.75,16.67,0.18,21.54,1.78,6,-1.8473892622888228
8,VCP (Volatility Contraction Pattern),nasdaq100,bear2022,-8.36,-33.31,24.95,-1.0,-2.08,-2.25,-8.32,0.0,0.0,19.23,3.17,13,-2.0497694981711136
9,Conservative Growth (Minervini),nasdaq100,bear2022,-13.68,-33.31,19.63,-0.93,-2.01,-2.26,-14.72,11.9,0.26,50.0,8.27,42,-3.201255419431704
1,5LC (5-Level Conviction),nasdaq100,bull2021,30.84,30.17,0.67,5.39,1.87,2.98,-5.72,45.19,2.36,93.49,17.59,104,5.360209659056071
2,Qullamaggie Aggressive,nasdaq100,bull2021,10.8,30.17,-19.37,3.97,1.47,2.29,-2.72,61.36,2.59,75.1,6.01,44,3.5520346541458627
3,Conviction (Pure Technical),nasdaq100,bull2021,15.65,30.17,-14.52,3.09,1.12,1.64,-5.07,52.32,1.56,97.32,20.41,151,0.7416814301220617
4,Conservative Growth (Minervini),nasdaq100,bull2021,23.01,30.17,-7.16,3.01,1.13,1.7,-7.64,37.82,1.71,100.0,24.05,119,0.04013477577403396
5,Turtle ATR-Based,nasdaq100,bull2021,19.88,30.17,-10.29,2.51,1.24,1.85,-7.92,36.97,1.63,92.34,19.97,119,0.007992322554467468
6,Hybrid Balanced,nasdaq100,bull2021,18.23,30.17,-11.94,2.64,1.12,1.71,-6.91,34.43,1.66,93.1,20.45,122,-0.022181697585874516
7,VCP (Volatility Contraction Pattern),nasdaq100,bull2021,8.52,30.17,-21.65,2.05,0.58,0.79,-4.16,43.75,1.93,71.26,8.09,32,-1.8737649844908342
8,High Conviction Only,nasdaq100,bull2021,24.01,30.17,-6.16,1.83,0.88,1.18,-13.12,40.0,2.74,96.55,10.75,35,-3.523363405643213
9,Buy & Hold (QQQ),nasdaq100,bull2021,30.17,30.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.282742753932578
1,Qullamaggie Aggressive,nasdaq100,full,7.91,19.72,-11.81,1.64,0.89,1.32,-4.83,55.68,1.96,71.88,35.87,264,3.0814682688737163
2,Hybrid Balanced,nasdaq100,full,13.04,19.72,-6.68,1.6,0.95,1.37,-8.13,33.4,1.83,84.44,82.93,494,2.6131426482303994
3,5LC (5-Level Conviction),nasdaq100,full,15.11,19.72,-4.61,1.43,1.06,1.52,-10.56,37.44,1.94,85.06,76.46,454,2.451701597768703
4,Conviction (Pure Technical),nasdaq100,full,11.51,19.72,-8.21,1.46,0.91,1.28,-7.88,50.88,1.55,85.82,92.47,684,2.06889596411792
5,Turtle ATR-Based,nasdaq100,full,13.71,19.72,-6.01,1.35,0.98,1.41,-10.18,33.94,1.78,85.82,82.66,492,1.8801664377341702
6,High Conviction Only,nasdaq100,full,14.34,19.72,-5.38,0.9,0.71,0.95,-15.89,34.07,2.76,79.77,41.5,135,-2.057159975658595
7,VCP (Volatility Contraction Pattern),nasdaq100,full,6.7,19.72,-13.02,0.75,0.47,0.64,-8.97,39.76,1.68,61.23,41.53,166,-2.3424948991828587
8,Conservative Growth (Minervini),nasdaq100,full,11.44,19.72,-8.28,0.7,0.66,0.87,-16.34,32.98,1.52,87.82,94.81,470,-2.8749127009750963
9,Buy & Hold (QQQ),nasdaq100,full,19.72,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.820807340908361
1,Buy & Hold (IWB),russell1000,bear2022,-19.76,-19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.453030244524129
2,Qullamaggie Aggressive,russell1000,bear2022,1.7,-19.76,21.46,0.52,-0.3,-0.4,-3.27,48.28,1.23,39.62,3.91,29,5.049129176706199
3,Conservative Growth (Minervini),russell1000,bear2022,-1.68,-19.76,18.08,-0.18,-0.3,-0.38,-9.28,24.66,0.92,68.85,14.6,73,1.8049458705919452
4,High Conviction Only,russell1000,bear2022,-3.09,-19.76,16.67,-0.37,-0.44,-0.55,-8.46,26.67,0.76,60.38,8.98,30,0.9291594333344824
5,Conviction (Pure Technical),russell1000,bear2022,-6.27,-19.76,13.49,-0.72,-0.76,-0.98,-8.67,36.27,0.76,58.85,13.62,102,-1.5832364719351826
6,Turtle ATR-Based,russell1000,bear2022,-7.67,-19.76,12.09,-0.83,-0.76,-0.97,-9.22,18.18,0.67,63.85,12.72,77,-1.9636765183942253
7,Hybrid Balanced,russell1000,bear2022,-7.69,-19.76,12.07,-0.9,-0.91,-1.15,-8.56,17.72,0.64,65.0,13.05,79,-2.6710811675461983
8,5LC (5-Level Conviction),russell1000,bear2022,-10.42,-19.76,9.34,-0.86,-0.95,-1.15,-12.1,19.18,0.55,63.85,12.03,73,-3.7244289522693164
9,VCP (Volatility Contraction Pattern),russell1000,bear2022,-5.64,-19.76,14.12,-0.75,-1.33,-1.74,-7.47,21.21,0.59,38.08,7.88,33,-4.293841615011835
1,Conviction (Pure Technical),russell1000,bull2021,51.22,28.69,22.53,8.98,2.6,4.89,-5.7,53.12,2.06,100.0,39.14,288,4.889579537163139
2,Turtle ATR-Based,russell1000,bull2021,54.36,28.69,25.67,8.03,2.43,4.1,-6.77,38.64,2.45,100.0,29.79,176,3.4058382570737296
3,Hybrid Balanced,russell1000,bull2021,49.3,28.69,20.61,7.01,2.22,3.68,-7.03,37.1,2.5,100.0,31.4,186,2.3442071879723883
4,5LC (5-Level Conviction),russell1000,bull2021,38.11,28.69,9.42,4.77,1.57,2.63,-7.99,38.85,2.09,100.0,26.47,157,-0.44863562992815514
5,Conservative Growth (Minervini),russell1000,bull2021,45.77,28.69,17.08,4.42,1.81,3.08,-10.36,38.51,2.01,100.0,32.69,161,-0.5939941239783346
6,VCP (Volatility Contraction Pattern),russell1000,bull2021,23.18,28.69,-5.51,3.78,1.4,2.11,-6.14,36.9,2.03,87.36,21.16,84,-0.9212590440797066
7,Qullamaggie Aggressive,russell1000,bull2021,21.75,28.69,-6.94,3.72,1.34,1.94,-5.85,52.49,1.62,94.64,24.5,181,-1.0697255993572445
8,High Conviction Only,russell1000,bull2021,42.62,28.69,13.93,3.07,1.3,2.13,-13.88,47.62,3.99,100.0,13.04,42,-3.505469187008221
9,Buy & Hold (IWB),russell1000,bull2021,28.69,28.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.100541397857597
1,Qullamaggie Aggressive,russell1000,full,15.52,14.03,1.49,2.1,1.37,2.03,-7.4,53.17,1.82,81.99,96.16,709,3.107725346304436
2,Conviction (Pure Technical),russell1000,full,18.08,14.03,4.05,1.83,1.44,2.22,-9.87,48.37,1.56,89.81,166.28,1230,2.5156325526017396
3,5LC (5-Level Conviction),russell1000,full,21.17,14.03,7.14,1.75,1.47,2.18,-12.11,35.56,1.99,90.57,118.43,703,1.862534173291216
4,Turtle ATR-Based,russell1000,full,19.2,14.03,5.17,1.81,1.34,1.98,-10.59,33.2,1.9,90.8,124.04,738,1.723553622589469
5,Hybrid Balanced,russell1000,full,18.24,14.03,4.21,1.56,1.24,1.77,-11.71,31.52,1.89,90.88,126.77,755,0.4921650784481848
6,Conservative Growth (Minervini),russell1000,full,19.57,14.03,5.54,1.42,1.23,1.76,-13.82,34.42,1.79,91.8,142.79,706,-0.27817193562571274
7,VCP (Volatility Contraction Pattern),russell1000,full,11.1,14.03,-2.93,1.01,0.8,1.14,-10.96,35.31,1.66,81.69,87.86,354,-2.2171914548323177
8,High Conviction Only,russell1000,full,20.19,14.03,6.16,1.27,0.96,1.31,-15.86,35.38,3.17,92.11,60.07,195,-2.3039055979570553
9,Buy & Hold (IWB),russell1000,full,14.03,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.902341784819961
1,Buy & Hold (SPY),sp500,bear2022,-18.7,-18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.294225364596187
2,High Conviction Only,sp500,bear2022,-3.19,-18.7,15.51,-0.39,-0.63,-0.84,-8.17,24.0,0.7,50.0,7.48,25,2.3147430544982672
3,Qullamaggie Aggressive,sp500,bear2022,-0.73,-18.7,17.97,-0.19,-1.1,-1.57,-3.85,40.0,0.87,36.15,2.68,20,1.7903229620183647
4,Hybrid Balanced,sp500,bear2022,-6.77,-18.7,11.93,-0.88,-0.97,-1.21,-7.73,17.46,0.58,52.31,10.4,63,-0.3301325890633223
5,Conservative Growth (Minervini),sp500,bear2022,-7.61,-18.7,11.09,-0.85,-0.92,-1.16,-8.92,19.4,0.63,50.0,13.34,67,-0.36081550812631347
6,VCP (Volatility Contraction Pattern),sp500,bear2022,-3.59,-18.7,15.11,-0.59,-1.26,-1.7,-6.12,23.33,0.71,35.0,7.2,30,-0.5101981138288819
7,Turtle ATR-Based,sp500,bear2022,-9.95,-18.7,8.75,-0.96,-1.25,-1.54,-10.4,14.93,0.49,52.31,11.03,67,-2.396675612418239
8,5LC (5-Level Conviction),sp500,bear2022,-12.64,-18.7,6.06,-0.96,-1.47,-1.76,-13.17,14.52,0.41,52.31,10.18,62,-3.945986068022549
9,Conviction (Pure Technical),sp500,bear2022,-11.43,-18.7,7.27,-0.94,-1.72,-2.18,-12.14,30.59,0.53,51.54,11.29,85,-4.855483489653516
1,5LC (5-Level Conviction),sp500,bull2021,32.49,30.96,1.53,7.33,1.9,2.8,-4.43,42.45,2.21,100.0,23.42,139,5.126584003742057
2,Conviction (Pure Technical),sp500,bull2021,25.68,30.96,-5.28,4.9,1.63,2.44,-5.24,54.0,1.67,99.62,33.79,250,2.9382376771504055
3,Hybrid Balanced,sp500,bull2021,28.73,30.96,-2.23,4.12,1.83,2.63,-6.97,41.22,2.18,100.0,24.88,148,2.557243112882834
4,Turtle ATR-Based,sp500,bull2021,25.72,30.96,-5.24,3.72,1.43,2.06,-6.91,39.6,1.85,100.0,25.01,149,1.1503825971887436
5,Conservative Growth (Minervini),sp500,bull2021,26.27,30.96,-4.69,3.12,1.34,2.02,-8.43,40.58,1.79,100.0,27.89,138,0.21332358962492237
6,VCP (Volatility Contraction Pattern),sp500,bull2021,15.09,30.96,-15.87,1.99,1.06,1.45,-7.59,37.5,1.88,79.31,16.08,64,-1.0975894773763697
7,Buy & Hold (SPY),sp500,bull2021,30.96,30.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.875344213068702
8,High Conviction Only,sp500,bull2021,18.45,30.96,-12.51,1.49,0.85,1.15,-12.39,51.28,2.67,100.0,11.9,39,-3.477504119434953
9,Qullamaggie Aggressive,sp500,bull2021,5.63,30.96,-25.33,0.64,0.27,0.32,-8.74,48.95,1.19,90.8,19.24,143,-4.535333170708942
1,Hybrid Balanced,sp500,full,14.48,14.33,0.15,1.69,1.06,1.45,-8.56,33.87,1.74,88.12,115.29,688,3.146067655445479
2,Turtle ATR-Based,sp500,full,15.07,14.33,0.74,1.46,1.13,1.6,-10.31,34.53,1.77,88.12,112.18,669,2.780261584270864
3,Qullamaggie Aggressive,sp500,full,9.4,14.33,-4.93,1.34,0.8,1.12,-7.03,51.86,1.54,79.23,76.35,565,1.1922056548021542
4,Conviction (Pure Technical),sp500,full,13.02,14.33,-1.31,1.08,1.01,1.43,-12.0,49.1,1.43,87.2,149.47,1108,0.7925669402901863
5,High Conviction Only,sp500,full,17.98,14.33,3.65,1.22,0.96,1.25,-14.68,34.46,3.25,89.96,54.44,177,-0.09094394359267666
6,5LC (5-Level Conviction),sp500,full,12.76,14.33,-1.57,1.05,0.88,1.22,-12.18,33.33,1.56,88.51,107.0,639,-0.18955417752371756
7,Conservative Growth (Minervini),sp500,full,15.32,14.33,0.99,1.07,0.93,1.25,-14.27,34.47,1.68,88.05,124.76,618,-0.4169285725774676
8,VCP (Volatility Contraction Pattern),sp500,full,8.78,14.33,-5.55,0.78,0.62,0.88,-11.24,34.81,1.58,77.09,78.19,316,-2.129231696502697
9,Buy & Hold (SPY),sp500,full,14.33,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.0844434446121305
