timestamp,symbol,market_code,market_name,currency,action,price,quantity,value,reason
2022-04-22 10:30:00-04:00,NAB.AX,AU_ASX300,ASX 300,AUD,buy,33.13999938964844,6.0,198.83999633789062,All conditions met. Trend gain: 26.45%
2022-04-22 10:30:00-04:00,CPU.AX,AU_ASX300,ASX 300,AUD,buy,25.299999237060547,7.0,177.09999465942383,All conditions met. Trend gain: 42.84%
2022-04-25 10:30:00-04:00,CFR.SW,CH_SMI,Swiss Market Index,CHF,sell,112.0,1.0,112.0,MA exit
2022-04-25 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,sell,20.770000457763672,9.0,186.93000411987305,MA exit
2022-04-26 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,sell,734.0,38.0,27892.0,MA exit
2022-04-26 10:30:00-04:00,CPU.AX,AU_ASX300,ASX 300,AUD,sell,23.850000381469727,7.0,166.9500026702881,MA exit
2022-04-28 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,buy,754.2999877929688,1.0,754.2999877929688,All conditions met. Trend gain: 26.42%
2022-05-02 10:30:00-04:00,PME.AX,AU_ASX300,ASX 300,AUD,sell,43.790000915527344,5.0,218.95000457763672,Stop loss
2022-05-02 10:30:00-04:00,AZN,US_SP500,S&P 500,USD,buy,66.4000015258789,2.0,132.8000030517578,All conditions met. Trend gain: 28.84%
2022-05-02 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,buy,23.75,7.0,166.25,All conditions met. Trend gain: 40.13%
2022-05-02 10:30:00-04:00,BMW.DE,DE_DAX,DAX 40,EUR,buy,77.63999938964844,1.0,77.63999938964844,All conditions met. Trend gain: 44.42%
2022-05-03 10:30:00-04:00,4063.T,JP_NIKKEI,Nikkei 225,JPY,buy,3579.0,3.0,10737.0,All conditions met. Trend gain: 26.10%
2022-05-04 10:30:00-04:00,ALV.DE,DE_DAX,DAX 40,EUR,sell,208.75,1.0,208.75,MA exit
2022-05-05 10:30:00-04:00,NAB.AX,AU_ASX300,ASX 300,AUD,sell,31.700000762939453,6.0,190.20000457763672,MA exit
2022-05-05 10:30:00-04:00,AZN,US_SP500,S&P 500,USD,sell,65.73999786376953,2.0,131.47999572753906,MA exit
2022-05-10 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,sell,37.855045318603516,50.0,1892.7522659301758,MA exit
2022-05-10 10:30:00-04:00,BNP.PA,FR_CAC40,CAC 40,EUR,buy,50.91999816894531,2.0,101.83999633789062,All conditions met. Trend gain: 48.66%
2022-05-11 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,sell,2050.0,12.0,24600.0,MA exit
2022-05-11 10:30:00-04:00,BMW.DE,DE_DAX,DAX 40,EUR,sell,75.5999984741211,1.0,75.5999984741211,MA exit
2022-05-12 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,sell,728.0,1.0,728.0,MA exit
2022-05-31 10:30:00-04:00,DTE.DE,DE_DAX,DAX 40,EUR,buy,19.124000549316406,2.0,38.24800109863281,All conditions met. Trend gain: 32.36%
2022-06-01 10:30:00-04:00,QBE.AX,AU_ASX300,ASX 300,AUD,sell,12.050000190734863,32.0,385.6000061035156,MA exit
2022-06-01 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,buy,40.99412155151367,2.0,81.98824310302734,All conditions met. Trend gain: 25.52%
2022-06-01 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,buy,2197.5,4.0,8790.0,All conditions met. Trend gain: 26.45%
2022-06-01 10:30:00-04:00,AMCR,US_SP500,S&P 500,USD,buy,13.100000381469727,6.0,78.60000228881836,All conditions met. Trend gain: 25.42%
2022-06-08 10:30:00-04:00,0700.HK,HK_HSI,Hang Seng Index,HKD,buy,371.7433166503906,1.0,371.7433166503906,All conditions met. Trend gain: 35.89%
2022-06-09 10:30:00-04:00,BNP.PA,FR_CAC40,CAC 40,EUR,sell,50.709999084472656,2.0,101.41999816894531,MA exit
2022-06-09 10:30:00-04:00,9984.T,JP_NIKKEI,Nikkei 225,JPY,buy,5659.0,1.0,5659.0,All conditions met. Trend gain: 42.14%
2022-06-10 10:30:00-04:00,9618.HK,HK_HSI,Hang Seng Index,HKD,buy,250.8000030517578,1.0,250.8000030517578,All conditions met. Trend gain: 78.64%
2022-07-05 10:30:00-04:00,4063.T,JP_NIKKEI,Nikkei 225,JPY,sell,3150.0,3.0,9450.0,Stop loss
2022-07-05 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,sell,33.9618034362793,2.0,67.9236068725586,Stop loss
2022-07-05 10:30:00-04:00,0700.HK,HK_HSI,Hang Seng Index,HKD,sell,331.47271728515625,1.0,331.47271728515625,Stop loss
2022-07-05 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,sell,23.260000228881836,7.0,162.82000160217285,MA exit
2022-07-06 10:30:00-04:00,9618.HK,HK_HSI,Hang Seng Index,HKD,sell,242.60000610351562,1.0,242.60000610351562,MA exit
2022-07-18 10:30:00-04:00,WTC.AX,AU_ASX300,ASX 300,AUD,buy,47.290000915527344,1.0,47.290000915527344,All conditions met. Trend gain: 38.64%
2022-07-20 10:30:00-04:00,AFL,US_SP500,S&P 500,USD,buy,54.970001220703125,1.0,54.970001220703125,All conditions met. Trend gain: 25.52%
2022-07-20 10:30:00-04:00,PME.AX,AU_ASX300,ASX 300,AUD,buy,48.41999816894531,1.0,48.41999816894531,All conditions met. Trend gain: 37.55%
2022-07-21 10:30:00-04:00,XRO.AX,AU_ASX300,ASX 300,AUD,buy,90.5,1.0,90.5,All conditions met. Trend gain: 32.84%
2022-07-21 10:30:00-04:00,WDS.AX,AU_ASX300,ASX 300,AUD,buy,31.139999389648438,2.0,62.279998779296875,All conditions met. Trend gain: 25.51%
2022-07-22 10:30:00-04:00,WES.AX,AU_ASX300,ASX 300,AUD,buy,47.529998779296875,1.0,47.529998779296875,All conditions met. Trend gain: 25.78%
2022-07-25 10:30:00-04:00,DTE.DE,DE_DAX,DAX 40,EUR,sell,18.08799934387207,2.0,36.17599868774414,MA exit
2022-07-28 10:30:00-04:00,6098.T,JP_NIKKEI,Nikkei 225,JPY,buy,4874.0,1.0,4874.0,All conditions met. Trend gain: 34.79%
2022-07-29 10:30:00-04:00,AES,US_SP500,S&P 500,USD,buy,22.280000686645508,2.0,44.560001373291016,All conditions met. Trend gain: 27.23%
2022-08-04 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,sell,2080.0,4.0,8320.0,MA exit
2022-08-09 10:30:00-04:00,9984.T,JP_NIKKEI,Nikkei 225,JPY,sell,5210.0,1.0,5210.0,MA exit
2022-08-11 10:30:00-04:00,APP,US_SP500,S&P 500,USD,buy,40.459999084472656,1.0,40.459999084472656,All conditions met. Trend gain: 48.06%
2022-08-12 10:30:00-04:00,APP,US_SP500,S&P 500,USD,sell,34.880001068115234,1.0,34.880001068115234,Stop loss
2022-08-12 10:30:00-04:00,4063.T,JP_NIKKEI,Nikkei 225,JPY,buy,3485.0,1.0,3485.0,All conditions met. Trend gain: 30.19%
2022-08-15 10:30:00-04:00,9984.T,JP_NIKKEI,Nikkei 225,JPY,buy,5900.0,1.0,5900.0,All conditions met. Trend gain: 25.93%
2022-08-18 10:30:00-04:00,XRO.AX,AU_ASX300,ASX 300,AUD,sell,87.5999984741211,1.0,87.5999984741211,MA exit
2022-08-18 10:30:00-04:00,REA.AX,AU_ASX300,ASX 300,AUD,buy,130.1699981689453,1.0,130.1699981689453,All conditions met. Trend gain: 45.78%
2022-08-18 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,buy,34.47600555419922,3.0,103.42801666259766,All conditions met. Trend gain: 49.65%
