symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
CLX,IVV,100.83,2130245.0,214792603.35,0.9656123756034977,1.7463833261249335,121572965,12299281408,75.32940954846475,TIER 2 - GOOD,$600K-$800K,0.09311307600015642,0.18622615200031284,0.3724523040006257,0.0018622615200031283,100.0,1.3755049758600935,74.92766652249867,100.0,100.0,NYQ,USD
CRI,IJR,32.43,1084195.0,35160443.85,0.3996311097448587,2.9746458695471567,35024579,1182004352,75.29079493821786,TIER 3 - ADEQUATE,$300K-$400K,0.5688210332418769,1.1376420664837539,2.2752841329675078,0.011376420664837539,68.9505548125,52.044266830616955,99.49291739094313,68.0196632,80.45501088,NYQ,USD
BAX,IVV,19.11,7827093.333333333,149575753.6,0.8790072388831341,1.5226154937270542,511994441,9823606784,75.26511094287687,TIER 2 - GOOD,$600K-$800K,0.13371151084743726,0.26742302169487453,0.5348460433897491,0.002674230216948745,100.0,4.839710444674634,70.45230987454109,100.0,99.647213568,NYQ,USD
KTOS,IJH,75.91,3054911.6666666665,231898344.61666664,26.990901943165223,1.8093454492424104,166277706,12816698368,75.23738179696964,TIER 2 - GOOD,$600K-$800K,0.08624468636488314,0.17248937272976628,0.34497874545953255,0.0017248937272976628,100.0,0.0,76.1869089848482,100.0,100.0,NMS,USD
GDDY,IVV,124.08,1398078.3333333333,173473559.6,0.6910405785456002,1.0345285207553,134234794,17178755072,75.2277082975652,TIER 2 - GOOD,$600K-$800K,0.11529134495260568,0.23058268990521136,0.4611653798104227,0.0023058268990521135,100.0,12.358376858175992,60.690570415106,100.0,100.0,NYQ,USD
PYPL,IVV,58.38,16887765.0,985907720.7,9.657417454658198,1.8049195478994529,933537380,55774994432,75.21967819159781,TIER 2 - GOOD,$600K-$800K,0.020285874205143547,0.040571748410287094,0.08114349682057419,0.00040571748410287095,100.0,0.0,76.09839095798905,100.0,100.0,NMS,USD
TREX,IJH,35.08,2609973.3333333335,91557864.53333333,2.256699576868841,2.4334330236806347,106605893,3762498048,75.19321185116698,TIER 2 - GOOD,$600K-$800K,0.21844109298462974,0.4368821859692595,0.873764371938519,0.004368821859692595,96.48244355555556,0.0,88.66866047361269,100.0,86.90624512,NYQ,USD
APA,IVV,24.46,6578906.666666667,160920057.0666667,10.701822411787507,1.854941370901834,352512862,8751456256,75.17005673480733,TIER 2 - GOOD,$600K-$800K,0.12428531510969021,0.24857063021938042,0.49714126043876083,0.002485706302193804,100.0,0.0,77.09882741803668,100.0,97.502912512,NMS,USD
PKG,IVV,206.23,794660.0,163882731.79999998,0.5167334717728271,0.8831805997854986,87816186,18556323840,75.16708124055572,TIER 2 - GOOD,$600K-$800K,0.12203848312955692,0.24407696625911385,0.4881539325182277,0.0024407696625911384,100.0,19.330661129086913,55.32722399141994,95.1264744,100.0,NYQ,USD
EMN,IJR,63.83,2180293.3333333335,139168123.46666667,1.5384615384615306,1.9113677181281405,113087467,7329753088,75.11142149011256,TIER 2 - GOOD,$600K-$800K,0.14371107047937143,0.28742214095874286,0.5748442819174857,0.002874221409587429,100.0,0.0,78.2273543625628,100.0,94.659506176,NYQ,USD
GTLS,IJH,206.23,659193.3333333334,135945441.13333333,0.5076142131979613,1.4664071864941406,44689529,9270646784,75.00635945079695,TIER 2 - GOOD,$600K-$800K,0.1471178425202526,0.2942356850405052,0.5884713700810104,0.0029423568504050516,100.0,19.695431472081548,69.32814372988281,75.7516232,98.541293568,NYQ,USD
HALO,IJH,67.3,2166271.6666666665,145790083.16666666,9.648241206030159,1.8421147364870418,116203476,7914278400,74.95131462594816,TIER 2 - GOOD,$600K-$800K,0.1371835420186713,0.2743670840373426,0.5487341680746852,0.0027436708403734264,100.0,0.0,76.84229472974084,100.0,95.8285568,NMS,USD
ADBE,IVV,349.99,3833461.6666666665,1341673248.7166667,0.6399774457287798,0.9157815734989647,415811550,148465745920,74.92647813070391,TIER 2 - GOOD,$600K-$800K,0.014906759167427942,0.029813518334855883,0.059627036669711767,0.0002981351833485588,100.0,14.40090217084881,56.63126293995859,100.0,100.0,NMS,USD
EXPE,IVV,283.31,2009571.6666666667,569331748.8833333,9.09242910647405,1.7174495847955527,115458713,35049861120,74.86979833918221,TIER 2 - GOOD,$600K-$800K,0.03512890338405908,0.07025780676811816,0.14051561353623632,0.0007025780676811815,100.0,0.0,74.34899169591105,100.0,100.0,NMS,USD
DBX,IJH,27.8,3456660.0,96095148.0,9.135721327637205,1.9817691297843671,170879210,7270454272,74.81170979020413,TIER 2 - GOOD,$600K-$800K,0.2081270534075248,0.4162541068150496,0.8325082136300992,0.004162541068150496,98.37297833333334,0.0,79.63538259568735,100.0,94.540908544,NMS,USD
URBN,IJR,75.26,2141941.6666666665,161202529.83333334,25.431677680665103,2.388455629104473,64523997,6750665728,74.7753954820179,TIER 2 - GOOD,$600K-$800K,0.12406753182271966,0.24813506364543933,0.49627012729087866,0.0024813506364543933,100.0,0.0,87.76911258208946,85.8095988,93.501331456,NMS,USD
YUM,IVV,151.28,2067520.0,312774425.6,0.5204558930100746,0.7446421516562325,276900390,42003320832,74.75257828314912,TIER 2 - GOOD,$600K-$800K,0.06394384694859143,0.12788769389718285,0.2557753877943657,0.0012788769389718286,100.0,19.18176427959702,49.7856860662493,100.0,100.0,NYQ,USD
ENTG,IJH,84.25,2544758.3333333335,214395889.58333334,9.85348395034113,1.6786004837291117,151045144,12772299776,74.71440193491645,TIER 2 - GOOD,$600K-$800K,0.09328537053051204,0.1865707410610241,0.3731414821220482,0.001865707410610241,100.0,0.0,73.57200967458223,100.0,100.0,NMS,USD
KMB,IVV,100.89,5560203.333333333,560968914.3,10.152707080055528,1.6752993856411693,330713509,33484697600,74.70119754256467,TIER 2 - GOOD,$600K-$800K,0.03565259944030379,0.07130519888060757,0.14261039776121515,0.0007130519888060757,100.0,0.0,73.50598771282338,100.0,100.0,NMS,USD
ARWR,IJR,66.39,2323525.0,154258824.75,40.693498452012385,1.710870011078307,116942894,9178918912,74.67926382671322,TIER 2 - GOOD,$600K-$800K,0.1296522259417771,0.2593044518835542,0.5186089037671084,0.0025930445188355423,100.0,0.0,74.21740022156614,100.0,98.357837824,NMS,USD
HAL,IVV,28.26,11444945.0,323434145.70000005,0.8775008775008775,1.3598601641171968,836980831,24094535680,74.66443188146002,TIER 2 - GOOD,$600K-$800K,0.061836390084029386,0.12367278016805877,0.24734556033611754,0.0012367278016805878,100.0,4.8999648999649015,67.19720328234393,100.0,100.0,NYQ,USD
TAP,IVV,46.68,3155191.6666666665,147284347.0,1.4225053078556298,1.7027673235144585,177573985,9231241216,74.65731753725782,TIER 2 - GOOD,$600K-$800K,0.1357917552501353,0.2715835105002706,0.5431670210005412,0.002715835105002706,100.0,0.0,74.05534647028917,100.0,98.462482432,NYQ,USD
CRH,IVV,124.8,7104253.333333333,886610816.0,0.7648183556405304,1.0618287393036987,669184737,83502399488,74.5991314008095,TIER 2 - GOOD,$600K-$800K,0.02255781188214153,0.04511562376428306,0.09023124752856612,0.00045115623764283063,100.0,9.407265774378786,61.23657478607397,100.0,100.0,NYQ,USD
