symbol,source,sector,industry,liquidity_tier,liquidity_score,ddv,fundamental_score,fundamental_percentage,fundamental_grade,market_cap_score,price_score,volume_score,roe_score,profit_margin_score,revenue_growth_score,earnings_growth_score,current_ratio_score,debt_to_equity_score,institutional_score,market_cap,price,volume,roe,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,debt_to_equity,quick_ratio,institutional_ownership,insider_ownership,pe_ratio,peg_ratio,currency
XRO.AX,ASX300,Technology,Software - Application,TIER 3 - ADEQUATE,60.19542112188002,65188933.94899999,83.712,55.808,C,10,5.0,5.0,2.762,8.0,9.950000000000001,20.0,15.0,8,0,19784067072,114.02,563915,8.286,11.626001,88.82900500000001,15.725,19.900000000000002,33.900000000000006,41.699999999999996,2.271,0.29522,2.263,0,0,76.52349,0,AUD
INTU,IVV,Technology,Software - Application,TIER 1 - EXCELLENT,93.8765879115646,1123653109.7,83.696,55.797333333333334,C,5,5.0,5.0,15.0,15.0,25.0,0.0,3.6959999999999997,10,0,184417730560,662.42,1725000,21.987000000000002,21.191,80.728996,15.697,41.0,-18.5,-14.6,1.386,0.0,0.573,0,0,45.464653,0,USD
SLM,IJH,Financial Services,Credit Services,TIER 2 - GOOD,70.6592059859101,82850729.49999999,83.664,55.776,C,10,5.0,5.0,20.0,15.0,25.0,0.0,3.664,0,0,5641505792,27.06,3102888,27.853,42.668,100.0,50.73800000000001,225.59999999999997,0.0,0.0,1.374,2.9210399999999996,1.364,0,0,9.331034,0,USD
JNJ,IVV,Healthcare,Drug Manufacturers - General,TIER 3 - ADEQUATE,69.92822965556053,1760501920.25,83.264,55.50933333333333,C,5,5.0,5.0,20.0,15.0,3.4000000000000004,25.0,2.8640000000000003,2,0,498603622400,206.95,8524825,33.619,27.259,68.355006,30.200001999999998,6.800000000000001,91.0,91.2,1.074,0.57766,0.711,0,0,19.995169,0,USD
UTHR,IJH,Healthcare,Drug Manufacturers - Specialty & Generic,TIER 1 - EXCELLENT,93.54653085663983,248600634.5833333,83.24,55.493333333333325,C,10,5.0,5.0,15.0,15.0,3.4000000000000004,4.84,15.0,10,0,22036496384,487.25,527782,20.041001,40.65,88.592005,48.693,6.800000000000001,12.1,9.6,6.396,0.0,5.611,0,0,18.484446,0,USD
WAY,IJR,Healthcare,Health Information Services,TIER 3 - ADEQUATE,67.33593808194478,69947450.0,83.131,55.42066666666666,C,10,5.0,5.0,1.181,8.0,5.949999999999999,25.0,15.0,8,0,6265617920,32.75,2163743,3.543,10.6920004,67.777,22.42,11.899999999999999,466.7,466.2,3.892,0.38966999999999996,3.597,0,0,50.384617,0,USD
BWXT,IJH,Industrials,Aerospace & Defense,TIER 2 - GOOD,83.59357495373388,209736154.8,82.92,55.279999999999994,C,10,5.0,5.0,20.0,8.0,20.0,6.919999999999998,8.0,0,0,15802198016,172.84,1219204,26.716,10.0360006,23.537001,10.9139994,28.9,17.299999999999997,18.2,1.708,1.21594,1.539,0,0,51.748505,0,USD
UBSI,IJH,Financial Services,Banks - Regional,TIER 3 - ADEQUATE,53.69835587706738,28737152.0,82.754,55.169333333333334,C,10,5.0,5.0,2.7540000000000004,15.0,15.0,20.0,0.0,10,0,5391997440,38.4,746743,8.262,38.167998,0.0,54.311,21.9,31.4,37.2,0.0,0.0,0.0,0,0,12.590164,0,USD
FBP,IJR,Financial Services,Banks - Regional,TIER 3 - ADEQUATE,79.08930199402535,26043479.05,82.7,55.13333333333333,C,10,5.0,5.0,10.0,15.0,2.7,25.0,0.0,10,0,3326535680,20.73,1265243,18.429000000000002,36.937,0.0,47.375,5.4,40.0,36.3,0.0,0.0,0.0,0,0,10.112195,0,USD
FLS,IJH,Industrials,Specialty Industrial Machinery,TIER 2 - GOOD,73.3984746094498,123111341.0,82.66399984,55.10933322666667,C,10,5.0,5.0,15.0,3.8639998399999995,1.7999999999999998,25.0,15.0,2,0,9073671168,69.38,1790925,21.447,9.659999599999999,33.681,13.597000000000001,3.5999999999999996,279.5,276.1,2.103,0.71895,1.481,0,0,20.168604,0,USD
GS,IVV,Financial Services,Capital Markets,TIER 1 - EXCELLENT,94.57586648817568,1837507015.0,82.51066666666667,55.00711111111111,C,5,5.0,5.0,4.510666666666666,15.0,15.0,25.0,8.0,0,0,266091839488,879.0,2078425,13.532,29.073998,82.997,37.203997,20.7,45.800000000000004,37.1,1.657,5.861420000000001,1.49,0,0,17.858593,0,USD
WRB,IVV,Financial Services,Insurance - Property & Casualty,TIER 2 - GOOD,71.89234345883821,222891612.66666663,82.464,54.976,C,10,5.0,5.0,15.0,8.0,5.4,25.0,1.064,8,0,26647087104,70.12,3147546,20.887,13.007,43.851003,17.723,10.8,40.699999999999996,39.800000000000004,0.399,0.31481000000000003,0.243,0,0,14.731092,0,USD
MOS,IVV,Basic Materials,Agricultural Inputs,TIER 1 - EXCELLENT,92.48370250253666,165354041.05,82.41499986666666,54.94333324444444,C,10,5.0,5.0,3.3723332,8.0,15.0,25.0,3.042666666666667,8,0,7646355456,24.09,6756614,10.1169996,10.334,15.647,11.958,22.8,239.5,236.7,1.141,0.37134,0.328,0,0,6.240933,0,USD
SWKS,IVV,Technology,Semiconductors,TIER 2 - GOOD,75.649836684489,184162085.7333333,82.28,54.85333333333333,C,10,5.0,5.0,2.63,8.0,3.65,25.0,15.0,8,0,9507076096,63.41,2867461,7.89,11.6739996,41.158,10.235,7.3,154.5,133.7,2.325,0.20898,1.491,0,0,20.587664,0,USD
XYZ,IVV,Technology,Software - Infrastructure,TIER 1 - EXCELLENT,92.31554055906976,457677188.98333335,82.04733366666667,54.69822244444445,C,10,5.0,5.0,4.8973336666666665,8.0,1.15,25.0,15.0,8,0,39677820928,65.09,7053951,14.692001,13.081001,41.118,6.8709999999999996,2.3,64.4,62.7,2.183,0.36049,1.257,0,0,13.09658,0,USD
VIRT,IJR,Financial Services,Capital Markets,TIER 3 - ADEQUATE,57.437885600057975,30100343.933333334,81.96266666666666,54.641777777777776,C,10,5.0,5.0,20.0,12.0,7.000000000000001,20.0,2.962666666666667,0,0,7106656768,33.32,929703,51.776004,15.684000000000001,57.192004,30.785,14.000000000000002,33.800000000000004,29.5,1.111,3.9755000000000003,1.091,0,0,7.2277656,0,USD
TRNO,IJR,Real Estate,REIT - Industrial,TIER 3 - ADEQUATE,58.66453655983358,38074804.900000006,81.7546665,54.503111000000004,C,10,5.0,5.0,2.8046664999999997,15.0,8.35,25.0,2.6,8,0,6064836608,58.71,642848,8.4139995,72.497004,74.466,41.257998,16.7,170.3,182.1,0.975,0.25689,0.743,0,0,18.579113,0,USD
VMC,IVV,Basic Materials,Building Materials,TIER 3 - ADEQUATE,69.98099791011548,281752675.53333336,81.70699966666666,54.47133311111111,C,10,5.0,5.0,4.506999666666667,8.0,7.199999999999999,25.0,15.0,2,0,37686378496,285.22,978932,13.520999,14.188999999999998,28.226998,23.622,14.399999999999999,80.80000000000001,80.60000000000001,2.231,0.56296,1.353,0,0,33.674145,0,USD
VNOM,IJH,Energy,Oil & Gas Midstream,TIER 3 - ADEQUATE,65.82545618066416,61047439.68333334,81.46000000000001,54.30666666666667,C,10,5.0,5.0,1.46,15.0,25.0,0.0,12.0,8,0,12601323520,38.63,1572066,4.38,21.68,97.78999999999999,50.627,90.0,0.0,0.0,1.879,0.23956,0.93,0,0,15.8971195,0,USD
AAPL,IVV,Technology,Consumer Electronics,TIER 3 - ADEQUATE,64.89804270377135,12297452529.3,81.33133333333333,54.22088888888889,C,5,5.0,5.0,20.0,15.0,3.95,25.0,2.3813333333333335,0,0,4034508095488,271.86,45536156,171.42199,26.915001999999998,46.905,31.647,7.9,91.2,86.4,0.893,1.52411,0.771,0,0,36.491276,0,USD
