symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
AKAM,IVV,87.25,2819780.0,246025805.0,8.928571428571427,1.9600148436136797,140661358,12552241152,75.84005937445471,TIER 2 - GOOD,$600K-$800K,0.08129228557955537,0.16258457115911074,0.32516914231822147,0.0016258457115911073,100.0,0.0,79.2002968722736,100.0,100.0,NMS,USD
FSLR,IVV,261.23,2102940.0,549351016.2,10.043341802421162,1.959720837955808,101446970,28032108544,75.83888335182323,TIER 2 - GOOD,$600K-$800K,0.036406595073483365,0.07281319014696673,0.14562638029393346,0.0007281319014696673,100.0,0.0,79.19441675911617,100.0,100.0,NMS,USD
CFG,IVV,58.41,4574333.333333333,267186809.99999997,0.6486855582109857,1.0650711080332111,425380303,25195094016,75.773428850023,TIER 2 - GOOD,$600K-$800K,0.07485399447674831,0.14970798895349663,0.29941597790699326,0.0014970798895349664,100.0,14.05257767156057,61.301422160664224,100.0,100.0,NYQ,USD
DLTR,IVV,123.01,3853591.6666666665,474030310.9166667,5.677939807632636,1.9379079233297207,175062392,25090084864,75.75163169331888,TIER 2 - GOOD,$600K-$800K,0.0421913948104385,0.084382789620877,0.168765579241754,0.0008438278962087701,100.0,0.0,78.75815846659441,100.0,100.0,NMS,USD
SEDG,IJR,28.85,3732615.0,107685942.75,24.453883495145636,6.241825780382696,58933548,1725231488,75.717320752,TIER 2 - GOOD,$600K-$800K,0.18572526264111663,0.37145052528223327,0.7429010505644665,0.003714505252822333,100.0,0.0,100.0,83.5734192,81.81307872,NMS,USD
CPB,IVV,27.87,5963755.0,166209851.85,10.359617288023745,2.0003589322655637,192189260,8309001728,75.66323607466225,TIER 2 - GOOD,$600K-$800K,0.12032981064232866,0.24065962128465732,0.48131924256931463,0.0024065962128465733,100.0,0.0,80.00717864531127,100.0,96.618003456,NMS,USD
SWKS,IVV,63.41,2904306.6666666665,184162085.73333332,9.625511995318897,1.9371053663222493,147824858,9507076096,75.649836684489,TIER 2 - GOOD,$600K-$800K,0.10859998636722652,0.21719997273445305,0.4343999454689061,0.0021719997273445305,100.0,0.0,78.742107326445,100.0,99.014152192,NMS,USD
TTMI,IJR,69.0,2120645.0,146324505.0,21.9954648526077,2.0522889005182146,101740465,7129820160,75.63511963407285,TIER 2 - GOOD,$600K-$800K,0.1366825057771424,0.2733650115542848,0.5467300231085696,0.0027336501155428477,100.0,0.0,81.04577801036429,100.0,94.25964032,NMS,USD
BILL,IJH,54.54,2407470.0,131303413.8,1.2161916863314606,2.403703804767576,81860060,5474662400,75.6213512990703,TIER 2 - GOOD,$600K-$800K,0.15231896430708036,0.3046379286141607,0.6092758572283214,0.003046379286141607,100.0,0.0,88.07407609535151,92.744024,90.9493248,NYQ,USD
ANF,IJH,125.87,2140298.3333333335,269399351.2166667,2.34375,4.667275188702455,44756975,5924678144,75.5557726288,TIER 2 - GOOD,$600K-$800K,0.07423922852700128,0.14847845705400256,0.2969569141080051,0.0014847845705400257,100.0,0.0,100.0,75.80557999999999,91.849356288,NYQ,USD
