Trade ID,Ticker,Direction,Status,Entry Date,Entry Price,Exit Date,Exit Price,Duration (Days),Position Size,Fees,Profit/Loss (PNL),Return (%)
442,AIG,Long,Closed,2022-02-08 05:00:00,57.9740,2022-03-03 05:00:00,55.8566,23,13.7427,1.5643,-30.6632,-3.8487
443,AIG,Long,Closed,2022-03-21 04:00:00,57.4001,2022-04-12 04:00:00,58.0602,22,1.5264,0.1762,0.8313,0.9488
444,AIG,Long,Closed,2022-04-14 04:00:00,58.5994,2022-04-26 04:00:00,53.6069,12,35.2542,3.9557,-179.9629,-8.7112
445,AIG,Long,Closed,2022-08-10 04:00:00,51.3755,2022-08-29 04:00:00,49.3923,19,8.5596,0.8625,-17.8375,-4.0563
446,AIG,Long,Closed,2022-09-13 04:00:00,50.8329,2022-09-26 04:00:00,45.5546,13,22.2760,2.1471,-119.7268,-10.5733
447,AIG,Long,Closed,2022-10-28 04:00:00,53.4498,2023-01-18 05:00:00,58.8369,82,0.8769,0.0985,4.6257,9.8688
448,AIG,Long,Closed,2023-01-25 05:00:00,60.0569,2023-01-27 05:00:00,59.8961,2,25.7778,3.0921,-7.2365,-0.4674
449,AIG,Long,Closed,2023-05-05 04:00:00,51.2151,2023-08-14 04:00:00,57.3261,101,32.1084,3.4851,192.7274,11.7200
450,AIG,Long,Open,2023-12-01 05:00:00,63.5972,2023-12-29 05:00:00,65.6662,28,3.6277,0.2307,7.2752,3.1534
451,AMT,Long,Closed,2018-03-16 04:00:00,121.6116,2018-04-04 04:00:00,118.7072,19,8.8303,2.1221,-27.7689,-2.5859
452,AMT,Long,Closed,2018-10-30 04:00:00,135.7598,2018-12-19 05:00:00,137.1009,50,46.4069,12.6626,49.5748,0.7869
453,AMT,Long,Closed,2019-01-08 05:00:00,136.6251,2019-01-09 05:00:00,135.4292,1,15.8831,4.3211,-23.3148,-1.0744
454,AMT,Long,Closed,2019-01-30 05:00:00,144.5806,2019-02-27 05:00:00,146.8960,28,1.9821,0.5777,4.0118,1.3999
455,AMT,Long,Closed,2019-02-28 05:00:00,149.3979,2019-04-18 04:00:00,164.3645,48,9.6736,3.0352,141.7448,9.8079
456,AMT,Long,Closed,2019-05-13 04:00:00,167.7471,2019-07-03 04:00:00,179.8434,51,27.6669,9.6168,325.0499,7.0038
457,AMT,Long,Closed,2019-07-30 04:00:00,178.5427,2019-09-16 04:00:00,185.4910,48,9.5379,3.4721,62.8006,3.6878
458,AMT,Long,Closed,2019-10-08 04:00:00,194.3061,2019-10-16 04:00:00,190.7569,8,26.0086,10.0149,-102.3252,-2.0248
459,AMT,Long,Closed,2019-10-18 04:00:00,196.8756,2019-10-24 04:00:00,192.0459,6,2.5636,0.9970,-13.3784,-2.6507
460,AMT,Long,Closed,2020-01-13 05:00:00,203.2108,2020-03-09 04:00:00,200.1463,55,9.0780,3.6617,-31.4809,-1.7065
461,AMT,Long,Closed,2020-05-22 04:00:00,210.1448,2020-06-29 04:00:00,220.9212,38,4.6501,2.0045,48.1066,4.9230
462,AMT,Long,Closed,2020-07-28 04:00:00,232.2371,2020-08-05 04:00:00,222.2182,8,4.1123,1.8688,-43.0693,-4.5098
463,AMT,Long,Closed,2020-11-05 05:00:00,209.8522,2020-11-10 05:00:00,203.2572,5,1.7128,0.7076,-12.0035,-3.3396
464,AMT,Long,Closed,2020-11-12 05:00:00,208.1816,2020-11-27 05:00:00,204.7529,15,3.7620,1.5534,-14.4522,-1.8453
465,AMT,Long,Closed,2021-01-25 05:00:00,200.1113,2021-02-11 05:00:00,200.3840,17,5.1040,2.0441,-0.6524,-0.0639
466,AMT,Long,Closed,2021-04-13 04:00:00,214.8529,2021-05-11 04:00:00,218.6635,28,2.4263,1.0519,8.1940,1.5718
467,AMT,Long,Closed,2021-05-27 04:00:00,224.6668,2021-06-24 04:00:00,234.6616,28,1.2583,0.5780,11.9988,4.2443
468,AMT,Long,Closed,2021-06-25 04:00:00,236.7848,2021-08-09 04:00:00,248.7955,45,6.5695,3.1900,75.7141,4.8673
469,AMT,Long,Closed,2021-08-20 04:00:00,258.3543,2021-08-25 04:00:00,251.3185,5,9.6836,4.9355,-73.0681,-2.9206
470,AMT,Long,Closed,2021-09-03 04:00:00,268.2951,2021-09-21 04:00:00,259.2870,18,7.3698,3.8882,-70.2757,-3.5542
471,AMT,Long,Closed,2021-12-07 05:00:00,247.0552,2022-01-13 05:00:00,229.1147,37,5.4449,2.5927,-100.2775,-7.4545
472,AMT,Long,Closed,2022-03-31 04:00:00,225.3296,2022-05-03 04:00:00,217.3273,33,2.7458,1.2155,-23.1884,-3.7478
473,AMT,Long,Closed,2022-07-22 04:00:00,235.4856,2022-08-22 04:00:00,244.6927,31,10.2727,4.9327,89.6497,3.7060
474,AMT,Long,Closed,2022-11-30 05:00:00,202.1613,2022-12-05 05:00:00,197.0079,5,4.0587,1.6201,-22.5361,-2.7466
475,AMT,Long,Closed,2022-12-13 05:00:00,204.1167,2022-12-19 05:00:00,191.5347,6,0.4125,0.1632,-5.3529,-6.3579
476,AMT,Long,Closed,2023-01-03 05:00:00,197.6000,2023-01-05 05:00:00,195.2620,2,18.7358,7.3606,-51.1653,-1.3820
477,AMT,Long,Closed,2023-01-06 05:00:00,201.1254,2023-01-27 05:00:00,203.2333,21,2.0789,0.8406,3.5415,0.8470
478,AMT,Long,Closed,2023-02-01 05:00:00,209.0784,2023-02-06 05:00:00,203.0309,5,0.2283,0.0941,-1.4748,-3.0896
479,AMT,Long,Closed,2023-04-12 04:00:00,194.4612,2023-04-25 04:00:00,187.0796,13,17.6520,6.7350,-137.0343,-3.9921
480,AMT,Long,Closed,2023-06-28 04:00:00,179.1429,2023-07-25 04:00:00,174.6365,27,11.3091,4.0009,-54.9641,-2.7130
481,AMT,Long,Open,2023-11-02 04:00:00,173.9071,2023-12-29 05:00:00,205.4877,57,9.7997,1.7042,307.7769,18.0595
482,AWK,Long,Closed,2018-03-16 04:00:00,71.7764,2018-03-22 04:00:00,70.0204,6,13.4652,1.9093,-25.5538,-2.6440
483,AWK,Long,Closed,2018-03-27 04:00:00,70.4921,2018-04-12 04:00:00,70.4572,16,34.1469,4.8130,-6.0064,-0.2495
