symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
META,2020-06-09,2020-06-26,237.4864664840698,218.37830539076157,1052,-20101.78547016027,-8.045999999999998,STOP_LOSS,3,17,2020-06,2020
META,2020-06-29,2021-04-07,219.5458905715942,307.2105646768318,1138,99762.39913176035,39.93,PROFIT_TARGET,3,282,2021-04,2021
META,2021-05-27,2022-01-21,331.09994599914546,304.45964434405425,755,-20113.427749593862,-8.045999999999987,STOP_LOSS,3,239,2022-01,2022
META,2023-01-31,2023-03-31,148.23127464294433,207.420022607872,1686,99792.22906886805,39.93,PROFIT_TARGET,3,59,2023-03,2023
META,2023-04-03,2023-07-12,212.01342443847656,296.67038481676025,943,79831.51363672152,39.93,PROFIT_TARGET,2,100,2023-07,2023
META,2023-07-13,2023-08-17,311.85586221313474,286.7639395394659,801,-20098.630061608725,-8.045999999999998,STOP_LOSS,3,35,2023-08,2023
META,2023-08-18,2024-01-29,281.84541160583495,394.38628446004486,887,99823.75422168418,39.93,PROFIT_TARGET,3,164,2024-01,2024
META,2024-01-30,2024-09-19,398.0761663970947,557.0279796394545,628,99821.73871620197,39.92999999999998,PROFIT_TARGET,3,233,2024-09,2024
META,2024-10-29,2024-12-31,592.115489868164,584.2475250244141,506,-3981.190210937429,-1.3287888897319133,END_OF_PERIOD,4,63,2024-12,2024
TSLA,2016-08-08,2016-09-01,15.08487211704254,13.8711433065053,16572,-20113.91384822315,-8.045999999999987,STOP_LOSS,3,24,2016-09,2016
TSLA,2017-02-03,2017-06-06,16.76371061325073,23.457460261121746,14913,99823.88849870046,39.93,PROFIT_TARGET,3,123,2017-06,2017
TSLA,2017-06-07,2017-07-05,23.98865573787689,22.058528497207316,8337,-16091.470805462237,-8.045999999999998,STOP_LOSS,2,28,2017-07,2017
TSLA,2017-07-13,2018-03-27,21.571447371482847,19.83580871597334,9271,-16091.105975228647,-8.045999999999987,STOP_LOSS,2,257,2018-03,2018
TSLA,2018-12-10,2018-12-19,24.35550395679474,22.395860108431034,10264,-20113.784459605064,-8.045999999999998,STOP_LOSS,3,9,2018-12,2018
TSLA,2019-01-10,2019-01-18,23.00949819087982,21.158153966441635,8692,-16091.883998816716,-8.045999999999987,STOP_LOSS,2,8,2019-01,2019
TSLA,2019-11-11,2020-01-08,23.017503519058227,32.20839267421818,8689,79859.63586918484,39.93000000000002,PROFIT_TARGET,2,58,2020-01,2020
TSLA,2020-01-09,2020-02-03,32.10537724685669,44.925054381526564,6229,79853.76887185864,39.93,PROFIT_TARGET,2,25,2020-02,2020
TSLA,2020-02-04,2020-02-05,59.16690158271789,54.40633268137242,3380,-16090.722886547695,-8.045999999999987,STOP_LOSS,2,1,2020-02,2020
TSLA,2020-02-06,2020-02-27,49.95563321113586,45.936202962967876,4003,-16089.779283416447,-8.045999999999987,STOP_LOSS,2,21,2020-02,2020
TSLA,2020-03-03,2020-03-09,49.72551866912841,45.724603437010344,4022,-16091.68106357887,-8.045999999999987,STOP_LOSS,2,6,2020-03,2020
TSLA,2020-03-10,2020-03-12,43.04351035881042,39.580229515340534,4646,-16090.402798761103,-8.046000000000008,STOP_LOSS,2,2,2020-03,2020
TSLA,2020-03-13,2020-03-16,36.45955443763733,33.52601868758504,5485,-16090.443589036828,-8.045999999999987,STOP_LOSS,2,3,2020-03,2020
TSLA,2020-03-17,2020-03-18,28.694340305328367,26.38559368436165,6970,-16091.963948138033,-8.045999999999998,STOP_LOSS,2,1,2020-03,2020
TSLA,2020-03-19,2020-04-13,28.52358732318878,39.91305574133806,7011,79851.5630796446,39.93,PROFIT_TARGET,2,25,2020-04,2020
TSLA,2020-04-14,2020-06-10,47.349663213729855,66.25638373497218,5279,99808.57763163821,39.92999999999998,PROFIT_TARGET,3,57,2020-06,2020
TSLA,2020-06-11,2020-07-06,64.88843080902099,90.79838123106306,4623,119781.70080110051,39.92999999999998,PROFIT_TARGET,4,25,2020-07,2020
TSLA,2020-07-07,2020-08-20,92.70366204071044,129.72023429356614,2696,99796.67879369896,39.93000000000002,PROFIT_TARGET,3,44,2020-08,2020
TSLA,2020-08-21,2020-09-08,136.73366164398192,125.73207122810715,1828,-20110.907280219086,-8.045999999999987,STOP_LOSS,3,18,2020-09,2020
TSLA,2020-09-09,2020-11-23,122.15437704849242,170.93061980395544,1637,79846.70939069295,39.93,PROFIT_TARGET,2,75,2020-11,2020
TSLA,2020-11-24,2021-01-07,185.2192265396118,259.1772636968788,1349,99769.39212515319,39.93,PROFIT_TARGET,3,44,2021-01,2021
TSLA,2021-01-08,2021-01-29,293.48666633605956,269.8727291626602,681,-16081.091215084947,-8.045999999999998,STOP_LOSS,2,21,2021-01,2021
TSLA,2021-02-01,2021-02-22,280.0766443634033,257.5416775579239,892,-20101.19039048765,-8.045999999999998,STOP_LOSS,3,21,2021-02,2021
TSLA,2021-02-23,2021-03-04,233.06314386749267,214.31088331191424,858,-16089.439556686293,-8.045999999999987,STOP_LOSS,2,9,2021-03,2021
TSLA,2021-03-11,2021-03-24,233.3165969467163,214.54394355638354,857,-16088.163955515167,-8.045999999999987,STOP_LOSS,2,13,2021-03,2021
TSLA,2021-03-25,2021-05-13,213.57006479644775,196.3862173829256,936,-16084.08117905674,-8.045999999999987,STOP_LOSS,2,49,2021-05,2021
TSLA,2021-05-14,2021-10-15,196.6782918319702,275.2119337604759,1016,79790.18019936181,39.93,PROFIT_TARGET,2,154,2021-10,2021
TSLA,2021-10-18,2021-11-04,290.1817004699707,406.0512534676299,689,79834.12201538721,39.92999999999998,PROFIT_TARGET,2,17,2021-11,2021
TSLA,2021-11-19,2021-12-03,379.2094990081787,348.69830271798065,527,-16079.400444934361,-8.045999999999998,STOP_LOSS,2,14,2021-12,2021
TSLA,2021-12-06,2021-12-16,336.5048382568359,309.4296589706909,594,-16082.656495970123,-8.045999999999987,STOP_LOSS,2,10,2021-12,2021
TSLA,2021-12-17,2022-01-27,311.01208726501466,285.9880547236716,643,-16090.45292408358,-8.045999999999987,STOP_LOSS,2,41,2022-01,2022
TSLA,2022-02-04,2022-02-22,307.92723262023924,283.1514074836148,649,-16079.510513669276,-8.046000000000008,STOP_LOSS,2,18,2022-02,2022
TSLA,2022-03-22,2022-04-26,331.49232348632813,304.8204511386182,603,-16083.1390256691,-8.045999999999998,STOP_LOSS,2,35,2022-04,2022
TSLA,2022-08-23,2022-09-02,296.6015652923584,272.7370033489353,842,-20093.96115636225,-8.045999999999975,STOP_LOSS,3,10,2022-09,2022
TSLA,2022-09-14,2022-09-23,302.76129034423826,278.4011169231409,825,-20097.143072405343,-8.045999999999987,STOP_LOSS,3,9,2022-09,2022
TSLA,2023-03-24,2023-04-20,190.5052086639404,175.17715957483978,1049,-16079.123494466561,-8.045999999999998,STOP_LOSS,2,27,2023-04,2023
TSLA,2023-06-09,2023-08-17,244.52219389343261,224.84793817276704,817,-16073.866923783771,-8.045999999999998,STOP_LOSS,2,69,2023-08,2023
TSLA,2023-08-21,2023-10-20,231.3956387786865,212.7775456825534,864,-16086.032435058994,-8.045999999999987,STOP_LOSS,2,60,2023-10,2023
TSLA,2023-10-24,2023-10-30,216.62826427459714,199.1983541310631,923,-16087.807062481923,-8.045999999999975,STOP_LOSS,2,6,2023-10,2023
TSLA,2023-11-02,2024-01-25,218.61924950408934,201.02914468899033,914,-16077.355801000496,-8.045999999999987,STOP_LOSS,2,84,2024-01,2024
TSLA,2024-07-02,2024-08-02,231.37562450408933,212.75914175649032,864,-16084.641093925544,-8.045999999999987,STOP_LOSS,2,31,2024-08,2024
TSLA,2024-09-05,2024-09-06,230.2850831680298,211.75634537633013,868,-16082.9444031953,-8.045999999999987,STOP_LOSS,2,1,2024-09,2024
TSLA,2024-09-11,2024-11-08,228.2440698852539,319.3819269904358,876,79836.76282413931,39.93,PROFIT_TARGET,2,58,2024-11,2024
TSLA,2024-11-11,2024-11-14,350.17499999999995,321.9999195,713,-20088.832396499984,-8.045999999999998,STOP_LOSS,3,3,2024-11,2024
TSLA,2024-11-15,2024-12-16,320.8803612213135,449.00788945698395,623,79823.4500908227,39.93,PROFIT_TARGET,2,31,2024-12,2024
TSLA,2024-12-17,2024-12-18,480.09991534423824,441.47107615564084,520,-20086.996378070646,-8.045999999999998,STOP_LOSS,3,1,2024-12,2024
TSLA,2024-12-19,2024-12-31,436.38809843444824,403.6380763397217,572,-18733.012638183583,-7.504792686193317,END_OF_PERIOD,3,12,2024-12,2024
NFLX,2016-11-21,2017-06-07,118.01897908401489,165.14395743226203,1694,79829.71332193066,39.93,PROFIT_TARGET,2,198,2017-06,2017
NFLX,2017-06-08,2017-06-12,165.9629448852539,152.6095663397864,1506,-20110.188089474064,-8.045999999999987,STOP_LOSS,3,4,2017-06,2017
NFLX,2017-07-18,2017-08-15,183.69180610656738,168.911963387233,1088,-16080.468878635824,-8.045999999999987,STOP_LOSS,2,28,2017-08,2017
NFLX,2017-09-12,2018-01-24,185.2425688934326,259.20992665258024,1079,79810.77902212029,39.93,PROFIT_TARGET,2,134,2018-01,2018
NFLX,2018-02-21,2018-06-19,281.1805285491943,393.4559135988876,711,79827.79877033192,39.93,PROFIT_TARGET,2,118,2018-06,2018
NFLX,2018-06-20,2018-07-17,416.96838977050777,383.41911312957274,719,-24121.92990483229,-8.045999999999998,STOP_LOSS,4,27,2018-07,2018
NFLX,2018-07-18,2018-07-30,375.3175698852539,345.1195182122864,532,-16065.363490018706,-8.045999999999987,STOP_LOSS,2,12,2018-07,2018
NFLX,2018-08-09,2018-08-17,349.53466534423825,321.41110617064083,572,-16086.67584729772,-8.045999999999998,STOP_LOSS,2,8,2018-08,2018
NFLX,2018-08-27,2018-10-10,364.76227656555176,335.4135037930875,548,-16083.127479310413,-8.045999999999987,STOP_LOSS,2,44,2018-10,2018
NFLX,2019-02-25,2019-07-18,364.09195866394043,334.7971196698398,686,-20096.259549953043,-8.045999999999998,STOP_LOSS,3,143,2019-07,2019
NFLX,2019-12-24,2020-03-16,333.3666122131348,306.54393459446595,599,-16066.783893582624,-8.045999999999998,STOP_LOSS,2,83,2020-03,2020
NFLX,2020-03-26,2020-07-10,363.1714852294922,508.18585928162844,550,79757.90572867493,39.93,PROFIT_TARGET,2,106,2020-07,2020
NFLX,2020-07-13,2020-07-23,525.76275,483.45987913500005,475,-20093.863660874966,-8.045999999999987,STOP_LOSS,3,10,2020-07,2020
NFLX,2020-07-29,2021-10-29,484.7222509918213,678.2718458128555,412,79742.43306626611,39.93,PROFIT_TARGET,2,457,2021-10,2021
NFLX,2021-11-01,2021-12-01,681.5105679016112,626.6762276082476,293,-16066.46170595555,-8.045999999999998,STOP_LOSS,2,30,2021-12,2021
NFLX,2022-08-12,2022-08-22,249.4246530532837,229.3559454686165,801,-16075.03477531841,-8.045999999999987,STOP_LOSS,2,10,2022-08,2022
NFLX,2022-09-14,2022-12-01,224.2320551147461,313.7679147220642,1114,99742.94760255235,39.93,PROFIT_TARGET,3,78,2022-12,2022
NFLX,2022-12-02,2022-12-15,320.57020866394043,294.7771296748398,623,-16069.088210209706,-8.045999999999998,STOP_LOSS,2,13,2022-12,2022
NFLX,2022-12-16,2023-06-08,290.85534645080565,406.9938862886123,1031,119738.83457277867,39.92999999999998,PROFIT_TARGET,4,174,2023-06,2023
NFLX,2023-06-09,2023-09-20,420.2299990081787,386.4182932879807,475,-16060.560217094053,-8.045999999999987,STOP_LOSS,2,103,2023-09,2023
NFLX,2023-11-10,2024-03-20,447.4636102294922,626.1358297941284,446,79687.80992582777,39.93,PROFIT_TARGET,2,131,2024-03,2024
NFLX,2024-03-21,2024-04-19,623.0213769836425,572.8930769915387,401,-20101.44829683364,-8.045999999999998,STOP_LOSS,3,29,2024-04,2024
NFLX,2024-04-22,2024-11-06,554.8772755737305,776.439771710321,450,99703.12326146575,39.93,PROFIT_TARGET,3,198,2024-11,2024
NFLX,2024-11-07,2024-12-31,796.9382480163574,890.8743473205567,250,23484.02482604982,11.787123975792824,END_OF_PERIOD,2,54,2024-12,2024
