symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
MIN.AX,2022-08-24,2022-12-01,60.96280870056152,85.30525821469573,3280,79843.2344063602,39.93,PROFIT_TARGET,2,99,2022-12,2022
MIN.AX,2022-12-02,2022-12-15,87.51245384216308,80.47120180602265,2285,-16089.260902580892,-8.045999999999998,STOP_LOSS,2,13,2022-12,2022
MIN.AX,2022-12-16,2023-04-26,79.12457975006103,72.75821606337114,3159,-20111.342886253376,-8.045999999999975,STOP_LOSS,3,131,2023-04,2023
MIN.AX,2024-04-24,2024-06-13,68.85440969467163,63.31438389063836,4357,-24137.89242817296,-8.045999999999987,STOP_LOSS,4,50,2024-06,2024
MIN.AX,2025-07-10,2025-08-11,25.522755228996274,35.71399139193449,7836,79858.52657278387,39.93000000000002,PROFIT_TARGET,2,32,2025-08,2025
MIN.AX,2025-08-12,2025-12-17,37.51875,52.49998687499999,5330,79849.99254374996,39.92999999999998,PROFIT_TARGET,2,127,2025-12,2025
MIN.AX,2025-12-18,2026-03-20,52.52625,51.664153627395635,4759,-4102.716637224162,-1.6412676949227545,END_OF_PERIOD,3,92,2026-03,2026
NST.AX,2017-03-22,2017-11-21,3.4492456859350202,4.826529488328873,57983,79859.04671420278,39.92999999999998,PROFIT_TARGET,2,244,2017-11,2017
NST.AX,2017-12-27,2018-09-19,5.094601348400116,7.128875666816282,39257,79859.50691806343,39.93,PROFIT_TARGET,2,266,2018-09,2018
NST.AX,2018-09-20,2018-11-14,7.594366212129592,6.9833235067016455,26335,-16091.809647444974,-8.045999999999998,STOP_LOSS,2,55,2018-11,2018
NST.AX,2018-11-20,2019-06-20,7.0954057474136345,9.9286012623559,28187,79859.28197967762,39.93,PROFIT_TARGET,2,212,2019-06,2019
NST.AX,2019-06-21,2019-09-10,9.951970187187195,9.151234665926115,20096,-16091.581035262665,-8.045999999999987,STOP_LOSS,2,81,2019-09,2019
NST.AX,2019-09-25,2019-10-17,9.960485032081603,9.159064406400319,25099,-20114.85628397457,-8.045999999999987,STOP_LOSS,3,22,2019-10,2019
NST.AX,2020-01-23,2020-03-13,10.878375579357147,10.003101480242073,18385,-16091.914312230645,-8.045999999999987,STOP_LOSS,2,50,2020-03,2020
NST.AX,2020-04-23,2020-05-01,11.50601811647415,10.580243898822642,17382,-16091.807451218512,-8.045999999999987,STOP_LOSS,2,8,2020-05,2020
NST.AX,2020-05-05,2021-02-17,11.014383147239684,10.12816587921278,18158,-16091.933152832524,-8.045999999999987,STOP_LOSS,2,288,2021-02,2021
NST.AX,2022-11-17,2023-04-14,9.212534530162811,12.891099568056822,21709,79857.96840764108,39.93,PROFIT_TARGET,2,148,2023-04,2023
NST.AX,2023-04-17,2023-05-25,12.98906575012207,11.943965519867248,15397,-16091.40824523348,-8.045999999999998,STOP_LOSS,2,38,2023-05,2023
NST.AX,2023-06-01,2023-06-29,12.313708022117615,11.322947074658034,20302,-20114.42875532441,-8.045999999999975,STOP_LOSS,3,28,2023-06,2023
NST.AX,2023-12-28,2024-01-10,12.98561267709732,11.94079028109807,15401,-16091.309720784438,-8.045999999999987,STOP_LOSS,2,13,2024-01,2024
NST.AX,2024-03-26,2024-07-03,13.200755633354186,12.138622835094509,15150,-16091.311893634109,-8.045999999999998,STOP_LOSS,2,99,2024-07,2024
NST.AX,2024-10-25,2024-11-07,17.62429961299896,16.206248466137065,14184,-20113.637467089124,-8.045999999999998,STOP_LOSS,3,13,2024-11,2024
NST.AX,2025-02-06,2025-07-09,17.499031016349793,16.091058980774292,17143,-24136.86460587081,-8.045999999999975,STOP_LOSS,4,153,2025-07,2025
NST.AX,2025-10-17,2025-10-22,25.85085346126556,23.77089379177214,7736,-16090.56800320112,-8.045999999999987,STOP_LOSS,2,5,2025-10,2025
NST.AX,2025-10-23,2026-03-13,23.92568557834625,22.000624916712514,10449,-20114.958853410913,-8.045999999999987,STOP_LOSS,3,141,2026-03,2026
EVN.AX,2017-03-22,2018-03-20,1.783319001674652,2.4953982790433407,112150,79859.69095689843,39.93,PROFIT_TARGET,2,363,2018-03,2018
EVN.AX,2018-03-23,2018-07-31,2.534936306476593,2.3309753312574863,98621,-20114.835337083525,-8.045999999999998,STOP_LOSS,3,130,2018-07,2018
EVN.AX,2018-12-21,2019-04-23,2.9768642942905426,2.7373457931719254,67184,-16091.810979153175,-8.046000000000008,STOP_LOSS,2,123,2019-04,2019
EVN.AX,2019-06-14,2019-12-10,3.515223806977272,3.232388899467881,56895,-16091.892062746801,-8.045999999999987,STOP_LOSS,2,179,2019-12,2019
EVN.AX,2020-05-04,2021-01-18,4.420277920246124,4.064622358783121,45246,-16091.991533955024,-8.045999999999998,STOP_LOSS,2,259,2021-01,2021
EVN.AX,2021-05-31,2021-06-09,4.8911538999080655,4.497611657121463,40890,-16091.942307544174,-8.045999999999987,STOP_LOSS,2,9,2021-06,2021
EVN.AX,2022-04-01,2022-05-02,3.9935133025646206,3.672195222240272,62601,-20114.833146384553,-8.045999999999987,STOP_LOSS,3,31,2022-05,2022
EVN.AX,2022-12-14,2023-02-27,2.7089298244714737,2.490969330794499,73829,-16091.805287677354,-8.045999999999998,STOP_LOSS,2,75,2023-02,2023
EVN.AX,2023-03-14,2023-03-17,2.6447445534467695,2.4319484066764425,94527,-20114.9813657587,-8.045999999999998,STOP_LOSS,3,3,2023-03,2023
EVN.AX,2023-03-21,2023-11-29,2.7294519460201263,3.819322108065963,91593,99824.47775226431,39.93,PROFIT_TARGET,3,253,2023-11,2023
EVN.AX,2024-04-19,2024-05-03,3.8778930823802944,3.5658778049719766,51574,-16091.875917056583,-8.045999999999987,STOP_LOSS,2,14,2024-05,2024
EVN.AX,2024-05-16,2024-06-17,3.744501319885254,3.4432187436872868,66764,-20114.82991728108,-8.045999999999987,STOP_LOSS,3,32,2024-06,2024
EVN.AX,2024-07-24,2024-08-08,3.906476827025413,3.5921617015229486,51197,-16091.991480349678,-8.045999999999998,STOP_LOSS,2,15,2024-08,2024
EVN.AX,2024-08-14,2025-01-21,3.868365406036377,5.413003712666702,64626,99823.79520429141,39.93,PROFIT_TARGET,3,160,2025-01,2025
EVN.AX,2025-01-22,2025-04-15,5.67816687297821,7.945458905358408,35222,79858.55996449535,39.92999999999998,PROFIT_TARGET,2,83,2025-04,2025
EVN.AX,2025-04-29,2025-07-09,7.791468078374862,7.164566556788821,25669,-16091.935157592092,-8.045999999999998,STOP_LOSS,2,71,2025-07,2025
EVN.AX,2025-07-10,2025-09-29,7.3624015710353845,10.302208518349813,27165,79859.85572379646,39.93,PROFIT_TARGET,2,81,2025-09,2025
EVN.AX,2025-09-30,2026-01-28,10.7127731051445,14.990383406028698,18669,79858.70670720711,39.93,PROFIT_TARGET,2,120,2026-01,2026
EVN.AX,2026-01-29,2026-02-02,15.549842378139495,14.298702060394394,16077,-20114.582888387988,-8.045999999999987,STOP_LOSS,3,4,2026-02,2026
EVN.AX,2026-02-03,2026-03-16,14.30348052549362,13.152622482412404,17478,-20114.6968769735,-8.045999999999998,STOP_LOSS,3,41,2026-03,2026
RRL.AX,2017-03-21,2018-03-07,2.6294855296611783,3.6794391016548866,95075,99824.33585730182,39.93,PROFIT_TARGET,3,351,2018-03,2018
RRL.AX,2018-04-09,2018-08-03,3.894426375031471,3.581080828896439,77033,-24137.947455419908,-8.045999999999998,STOP_LOSS,4,116,2018-08,2018
RRL.AX,2019-01-10,2019-05-03,4.166703186750412,3.831450248344474,47999,-16091.805790546594,-8.045999999999987,STOP_LOSS,2,113,2019-05,2019
RRL.AX,2019-07-18,2019-07-26,5.202708105325699,4.784098211171194,38441,-16091.78294119333,-8.045999999999987,STOP_LOSS,2,8,2019-07,2019
RRL.AX,2019-08-07,2019-08-19,5.1171364903450005,4.705411688331842,48855,-20114.81520235286,-8.045999999999998,STOP_LOSS,3,12,2019-08,2019
