date,equity,cash,positions_value,open_positions
2021-06-04,2979162.9551774305,969162.9551774305,2010000.0,15
2021-06-07,2979162.9551774305,969162.9551774305,2010000.0,15
2021-06-08,2979162.9551774305,969162.9551774305,2010000.0,15
2021-06-09,2979162.9551774305,969162.9551774305,2010000.0,15
2021-06-10,2982479.693566596,1240479.693566596,1742000.0,13
2021-06-11,2982345.693566596,1106345.693566596,1876000.0,14
2021-06-14,2977557.8409982687,1235557.8409982687,1742000.0,13
2021-06-15,2982582.5362918368,1508582.536291837,1474000.0,11
2021-06-16,2982448.5362918368,1374448.536291837,1608000.0,12
2021-06-17,2921311.504302877,2251311.504302877,670000.0,5
2021-06-18,2890799.814132877,2622799.814132877,268000.0,2
2021-06-21,2890799.814132877,2622799.814132877,268000.0,2
2021-06-22,2890531.814132877,2354531.814132877,536000.0,4
2021-06-23,2890397.814132877,2220397.814132877,670000.0,5
2021-06-24,2885051.018302992,2215051.018302992,670000.0,5
2021-06-25,2884649.018302992,1812649.018302992,1072000.0,8
2021-06-28,2884515.018302992,1678515.018302992,1206000.0,9
2021-06-29,2884381.018302992,1544381.018302992,1340000.0,10
2021-06-30,2884381.018302992,1544381.018302992,1340000.0,10
2021-07-01,2884381.018302992,1544381.018302992,1340000.0,10
2021-07-02,2890814.949081613,1684814.9490816132,1206000.0,9
2021-07-05,2890814.949081613,1684814.9490816132,1206000.0,9
2021-07-06,2890814.949081613,1684814.9490816132,1206000.0,9
2021-07-07,2881133.412041613,1675133.4120416131,1206000.0,9
2021-07-08,2881133.412041613,1675133.4120416131,1206000.0,9
2021-07-09,2881133.412041613,1675133.4120416131,1206000.0,9
2021-07-12,2884607.8218856133,1946607.8218856133,938000.0,7
2021-07-13,2899766.524401742,2095766.5244017418,804000.0,6
2021-07-14,2888959.128481742,2218959.128481742,670000.0,5
2021-07-15,2888825.128481742,2084825.128481742,804000.0,6
2021-07-16,2885723.2815361503,2483723.2815361503,402000.0,3
2021-07-19,2877580.047658592,2475580.047658592,402000.0,3
2021-07-20,2877580.047658592,2475580.047658592,402000.0,3
2021-07-21,2877580.047658592,2475580.047658592,402000.0,3
2021-07-22,2877446.047658592,2341446.047658592,536000.0,4
2021-07-23,2892173.100793752,2490173.100793752,402000.0,3
2021-07-26,2892173.100793752,2490173.100793752,402000.0,3
2021-07-27,2892173.100793752,2490173.100793752,402000.0,3
2021-07-28,2892173.100793752,2490173.100793752,402000.0,3
2021-07-29,2892039.100793752,2356039.100793752,536000.0,4
2021-07-30,2892039.100793752,2356039.100793752,536000.0,4
2021-08-02,2891637.100793752,1953637.100793752,938000.0,7
2021-08-03,2891369.100793752,1685369.100793752,1206000.0,9
