date,equity,cash,positions_value,open_positions
2021-10-08,3156658.317717678,1662658.3177176781,1494000.0,9
2021-10-11,3149267.389877678,1821267.3898776781,1328000.0,8
2021-10-12,3155752.79712325,1993752.79712325,1162000.0,7
2021-10-13,3155254.79712325,1495254.79712325,1660000.0,10
2021-10-14,3165294.384062347,1505294.3840623468,1660000.0,10
2021-10-15,3153507.836242347,1659507.8362423468,1494000.0,9
2021-10-18,3153341.836242347,1493341.8362423468,1660000.0,10
2021-10-19,3144860.5798223466,1650860.5798223468,1494000.0,9
2021-10-20,3144694.5798223466,1484694.5798223468,1660000.0,10
2021-10-21,3144694.5798223466,1484694.5798223468,1660000.0,10
2021-10-22,3144528.5798223466,1318528.5798223468,1826000.0,11
2021-10-25,3162076.985803006,1336076.9858030064,1826000.0,11
2021-10-26,3162076.985803006,1336076.9858030064,1826000.0,11
2021-10-27,3161910.985803006,1169910.9858030064,1992000.0,12
2021-10-28,3161910.985803006,1169910.9858030064,1992000.0,12
2021-10-29,3190611.724133148,1530611.724133148,1660000.0,10
2021-11-01,3215088.676430898,1389088.676430898,1826000.0,11
2021-11-02,3206437.803630898,1380437.803630898,1826000.0,11
2021-11-03,3206271.803630898,1214271.803630898,1992000.0,12
2021-11-04,3218946.253579866,1724946.2535798661,1494000.0,9
2021-11-05,3255661.2382257343,2259661.2382257343,996000.0,6
2021-11-08,3276982.557093619,2114982.557093619,1162000.0,7
2021-11-09,3276816.557093619,1948816.557093619,1328000.0,8
2021-11-10,3292307.8142311363,2130307.8142311363,1162000.0,7
2021-11-11,3303041.7467103163,1975041.7467103163,1328000.0,8
2021-11-12,3323203.4585277583,2161203.4585277583,1162000.0,7
2021-11-15,3322871.4585277583,1828871.4585277583,1494000.0,9
2021-11-16,3348420.781584596,1854420.7815845958,1494000.0,9
2021-11-17,3348420.781584596,1854420.7815845958,1494000.0,9
2021-11-18,3339865.4193445956,2011865.4193445959,1328000.0,8
2021-11-19,3322750.802594596,2160750.802594596,1162000.0,7
2021-11-22,3305610.201854596,2309610.201854596,996000.0,6
2021-11-23,3289882.932534596,2625882.932534596,664000.0,4
2021-11-24,3299289.042773878,2469289.042773878,830000.0,5
2021-11-25,3299123.042773878,2303123.042773878,996000.0,6
2021-11-26,3274025.2971438784,2776025.2971438784,498000.0,3
2021-11-29,3274025.2971438784,2776025.2971438784,498000.0,3
2021-11-30,3260752.7806138783,3094752.7806138783,166000.0,1
2021-12-01,3260752.7806138783,3094752.7806138783,166000.0,1
2021-12-02,3260752.7806138783,3094752.7806138783,166000.0,1
2021-12-03,3252209.9658138785,3252209.9658138785,0.0,0
2021-12-06,3252209.9658138785,3252209.9658138785,0.0,0
2021-12-07,3251877.9658138785,2919877.9658138785,332000.0,2
2021-12-08,3251545.9658138785,2587545.9658138785,664000.0,4
2021-12-09,3243079.0750138783,2745079.0750138783,498000.0,3
2021-12-10,3234602.773633878,2902602.773633878,332000.0,2
2021-12-13,3226133.844873878,3060133.844873878,166000.0,1
2021-12-14,3226133.844873878,3060133.844873878,166000.0,1
2021-12-15,3225967.844873878,2893967.844873878,332000.0,2
2021-12-16,3217488.456583878,3051488.456583878,166000.0,1
2021-12-17,3217488.456583878,3051488.456583878,166000.0,1
2021-12-20,3217488.456583878,3051488.456583878,166000.0,1
2021-12-21,3217488.456583878,3051488.456583878,166000.0,1
2021-12-22,3217156.456583878,2719156.456583878,498000.0,3
2021-12-23,3217156.456583878,2719156.456583878,498000.0,3
2021-12-24,3217156.456583878,2719156.456583878,498000.0,3
2021-12-27,3216824.456583878,2386824.456583878,830000.0,5
2021-12-28,3216824.456583878,2386824.456583878,830000.0,5
2021-12-29,3216824.456583878,2386824.456583878,830000.0,5
2021-12-30,3216824.456583878,2386824.456583878,830000.0,5
2021-12-31,3216824.456583878,2386824.456583878,830000.0,5
2022-01-03,3207808.337063878,2045808.337063878,1162000.0,7
2022-01-04,3198809.400343878,1704809.4003438782,1494000.0,9
2022-01-05,3179615.170801753,1685615.170801753,1494000.0,9
2022-01-06,3179117.170801753,1187117.170801753,1992000.0,12
2022-01-07,3179117.170801753,1187117.170801753,1992000.0,12
2022-01-10,3159508.580521753,1665508.580521753,1494000.0,9
2022-01-11,3196748.7574926424,1702748.7574926424,1494000.0,9
2022-01-12,3196250.7574926424,1204250.7574926424,1992000.0,12
2022-01-13,3196250.7574926424,1204250.7574926424,1992000.0,12
2022-01-14,3190013.035292642,1364013.0352926424,1826000.0,11
2022-01-17,3189847.035292642,1197847.0352926424,1992000.0,12
2022-01-18,3181329.2953926427,1355329.2953926425,1826000.0,11
2022-01-19,3172767.7731526424,1346767.7731526424,1826000.0,11
2022-01-20,3160285.7153726425,1666285.7153726423,1494000.0,9
2022-01-21,3143222.2973726424,2147222.2973726424,996000.0,6
2022-01-24,3122389.062962643,2624389.062962643,498000.0,3
2022-01-25,3116857.753642643,2784857.753642643,332000.0,2
2022-01-26,3112063.007022643,2946063.007022643,166000.0,1
2022-01-27,3116754.024852166,3116754.024852166,0.0,0
2022-01-28,3116256.024852166,2618256.024852166,498000.0,3
2022-01-31,3115758.024852166,2119758.024852166,996000.0,6
2022-02-01,3115592.024852166,1953592.024852166,1162000.0,7
2022-02-02,3115260.024852166,1621260.024852166,1494000.0,9
2022-02-03,3124570.997828249,1630570.997828249,1494000.0,9
2022-02-04,3124238.997828249,1298238.997828249,1826000.0,11
2022-02-07,3124238.997828249,1298238.997828249,1826000.0,11
2022-02-08,3135400.88631788,1309400.88631788,1826000.0,11
2022-02-09,3129758.58193788,1303758.5819378798,1826000.0,11
2022-02-10,3129592.58193788,1137592.5819378798,1992000.0,12
2022-02-11,3111501.2590378798,1451501.2590378798,1660000.0,10
2022-02-14,3095980.2708878606,1767980.2708878606,1328000.0,8
2022-02-15,3103266.3978158976,1443266.3978158976,1660000.0,10
2022-02-16,3102934.3978158976,1110934.3978158976,1992000.0,12
2022-02-17,3095654.6786558973,1269654.6786558975,1826000.0,11
2022-02-18,3095654.6786558973,1269654.6786558975,1826000.0,11
2022-02-21,3095654.6786558973,1269654.6786558975,1826000.0,11
2022-02-22,3061008.1662375107,1899008.1662375105,1162000.0,7
2022-02-23,3052561.0856075105,2056561.0856075105,996000.0,6
2022-02-24,3052561.0856075105,2056561.0856075105,996000.0,6
2022-02-25,3052561.0856075105,2056561.0856075105,996000.0,6
2022-02-28,3052561.0856075105,2056561.0856075105,996000.0,6
2022-03-01,3052561.0856075105,2056561.0856075105,996000.0,6
2022-03-02,3069974.2014707555,2239974.2014707555,830000.0,5
2022-03-03,3069974.2014707555,2239974.2014707555,830000.0,5
2022-03-04,3069974.2014707555,2239974.2014707555,830000.0,5
2022-03-07,3061507.3106707553,2397507.3106707553,664000.0,4
2022-03-08,3061507.3106707553,2397507.3106707553,664000.0,4
2022-03-09,3071066.1648320053,2573066.1648320053,498000.0,3
2022-03-10,3071066.1648320053,2573066.1648320053,498000.0,3
2022-03-11,3071066.1648320053,2573066.1648320053,498000.0,3
2022-03-14,3077685.5104473573,2745685.5104473573,332000.0,2
2022-03-15,3077685.5104473573,2745685.5104473573,332000.0,2
2022-03-16,3088200.8837434957,2922200.8837434957,166000.0,1
2022-03-17,3088200.8837434957,2922200.8837434957,166000.0,1
2022-03-18,3087702.8837434957,2423702.8837434957,664000.0,4
2022-03-21,3087204.8837434957,1925204.8837434957,1162000.0,7
2022-03-22,3086706.8837434957,1426706.8837434957,1660000.0,10
2022-03-23,3086374.8837434957,1094374.8837434957,1992000.0,12
2022-03-24,3086374.8837434957,1094374.8837434957,1992000.0,12
2022-03-25,3086374.8837434957,1094374.8837434957,1992000.0,12
2022-03-28,3092498.710786593,1266498.710786593,1826000.0,11
2022-03-29,3101937.292982834,1275937.292982834,1826000.0,11
2022-03-30,3101771.292982834,1109771.292982834,1992000.0,12
2022-03-31,3101771.292982834,1109771.292982834,1992000.0,12
2022-04-01,3093276.0106028337,1267276.010602834,1826000.0,11
2022-04-04,3107275.4468208337,1281275.446820834,1826000.0,11
2022-04-05,3107109.4468208337,1115109.446820834,1992000.0,12
2022-04-06,3125663.680678717,1465663.6806787166,1660000.0,10
2022-04-07,3156533.0366169065,1662533.0366169065,1494000.0,9
2022-04-08,3153138.4359455504,1659138.4359455504,1494000.0,9
2022-04-11,3144654.0126955505,1816654.0126955505,1328000.0,8
2022-04-12,3139948.5067455503,1977948.5067455503,1162000.0,7
2022-04-13,3139450.5067455503,1479450.5067455503,1660000.0,10
2022-04-14,3161665.9753428483,1667665.975342848,1494000.0,9
2022-04-15,3161665.9753428483,1667665.975342848,1494000.0,9
2022-04-18,3156123.437262848,1828123.437262848,1328000.0,8
2022-04-19,3155625.437262848,1329625.437262848,1826000.0,11
2022-04-20,3168975.948743316,1342975.9487433159,1826000.0,11
2022-04-21,3135120.273643316,1973120.273643316,1162000.0,7
2022-04-22,3123341.901473316,2293341.901473316,830000.0,5
2022-04-25,3118671.909973316,2454671.909973316,664000.0,4
2022-04-26,3110224.229943316,2612224.229943316,498000.0,3
2022-04-27,3110224.229943316,2612224.229943316,498000.0,3
2022-04-28,3110224.229943316,2612224.229943316,498000.0,3
2022-04-29,3103519.824893316,2771519.824893316,332000.0,2
2022-05-02,3103519.824893316,2771519.824893316,332000.0,2
2022-05-03,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-04,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-05,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-06,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-09,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-10,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-11,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-12,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-13,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-16,3117571.0459821075,2951571.0459821075,166000.0,1
2022-05-17,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-18,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-19,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-20,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-23,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-24,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-25,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-26,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-27,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-30,3130835.5338132516,3130835.5338132516,0.0,0
2022-05-31,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-01,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-02,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-03,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-06,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-07,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-08,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-09,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-10,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-13,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-14,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-15,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-16,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-17,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-20,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-21,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-22,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-23,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-24,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-27,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-28,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-29,3130835.5338132516,3130835.5338132516,0.0,0
2022-06-30,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-01,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-04,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-05,3130835.5338132516,3130835.5338132516,0.0,0
