symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
ACLS,2023-05-29,161.0404867172241,1862,300000.0,5,152.99,5.0,174.12,187.2,200.28,0.75,14990.01,2023-06-12,180.7995543899536,PROFIT_TARGET_1,36012.12150381954,11.99204845282036,2.4024087022543066,14
CDNS,2023-05-25,224.60225049591062,1335,300000.0,5,216.06,3.8,235.99,247.38,258.77,0.57,11403.9,2023-06-13,238.8805,PROFIT_TARGET_1,18286.56203250005,6.0894312462537625,1.603535190385531,19
SMCI,2023-06-08,25.44771696567535,11788,300000.0,5,24.18,5.0,29.02,32.59,36.16,0.747,14943.85,2023-06-16,24.18,STOP_LOSS,-15551.193839999964,-5.178552727272715,-1.0406418925852277,8
AMD,2023-05-25,120.41017347335814,2491,300000.0,5,114.39,5.0,130.04,139.67,149.3,0.75,14996.25,2023-06-21,114.39,STOP_LOSS,-15639.455490000022,-5.207943886113894,-1.0428909411915992,27
ARES,2023-06-13,88.02263464736939,3408,300000.0,5,84.98,3.46,92.08,96.14,100.2,0.518,10369.3,2023-06-23,84.98,STOP_LOSS,-10977.771840000001,-3.6556016783216787,-1.0586802414425847,10
CCL,2023-06-14,15.535985240936279,19310,300000.0,5,14.76,5.0,16.79,18.04,19.29,0.749,14984.28,2023-06-26,14.76,STOP_LOSS,-15569.415600000008,-5.1846205794205815,-1.039050310904173,12
JBL,2023-06-19,104.77629232406616,2863,300000.0,5,100.91,3.69,109.93,115.08,120.23,0.553,11069.19,2023-06-26,100.91,STOP_LOSS,-11683.575329999963,-3.8906344755244633,-1.0555036215757179,7
AMAT,2023-05-29,132.99317539215087,2255,300000.0,5,126.96,4.54,141.04,149.08,157.12,0.68,13604.81,2023-06-27,143.10352230834962,PROFIT_TARGET_1,22075.74436252308,7.3512302239504095,1.6226425459900469,29
RCL,2023-06-22,95.26817607879639,3149,300000.0,5,91.58,3.87,100.19,105.11,110.03,0.581,11614.07,2023-06-28,100.7615980873108,PROFIT_TARGET_1,16680.974104564753,5.554769931589995,1.4362733453088063,6
CCL,2023-06-28,17.21905062675476,17422,300000.0,5,16.36,5.0,19.0,20.78,22.56,0.748,14966.38,2023-07-05,19.112047929763794,PROFIT_TARGET_1,32337.128933312488,10.76827470306776,2.160651332624559,7
UBER,2023-06-26,44.44220816802978,6750,300000.0,5,42.36,4.69,47.22,50.0,52.78,0.703,14054.91,2023-07-06,42.36,STOP_LOSS,-14655.929999999993,-4.880429570429568,-1.0427626412316688,10
FTDR,2023-05-10,30.855420152664184,9722,300000.0,5,29.31,5.0,33.07,35.29,37.51,0.751,15024.57,2023-07-10,33.08344847488404,PROFIT_TARGET_1,21015.64878674975,6.998218044205711,1.3987516567040175,61
AAPL,2023-06-30,191.56027084350586,1566,300000.0,5,187.63,2.05,196.8,202.04,207.28,0.308,6154.8,2023-07-10,187.63,STOP_LOSS,-6765.248579999956,-2.2528300299700152,-1.09918178143318,10
FDX,2023-06-27,233.11108042144775,1286,300000.0,5,224.71,3.6,244.31,255.51,266.71,0.54,10803.79,2023-07-12,246.8926509780884,PROFIT_TARGET_1,16886.44520866382,5.62319187767693,1.5630113239995236,15
CRH,2023-06-27,52.03645749664307,5765,300000.0,5,50.42,3.11,54.2,56.36,58.52,0.466,9318.88,2023-07-13,54.470786413192755,PROFIT_TARGET_1,13410.059588384174,4.465554308486238,1.4390209157938731,16
TTD,2023-07-11,82.73134744262696,3626,300000.0,5,79.19,4.28,87.45,92.17,96.89,0.642,12840.93,2023-07-14,87.956,PROFIT_TARGET_1,18309.52754400001,6.097078769230773,1.4258728529956037,3
DVA,2023-07-06,101.99097244262694,2941,300000.0,5,99.05,2.89,105.92,109.85,113.77,0.432,8649.4,2023-07-18,106.10692366027833,PROFIT_TARGET_1,11448.402022393653,3.8123216857787723,1.3236065026001211,12
TDC,2023-07-13,56.40819106864929,5318,300000.0,5,54.93,2.62,58.38,60.34,62.31,0.393,7861.02,2023-07-20,54.93,STOP_LOSS,-8474.377740000025,-2.821970609390618,-1.0780251963333658,7
ACLS,2023-07-17,192.36613927459715,1559,300000.0,5,182.75,5.0,207.24,222.12,236.99,0.75,14991.56,2023-07-20,182.75,STOP_LOSS,-15677.65724999999,-5.2206650849150815,-1.045765488663579,3
CVNA,2023-07-19,55.82789923667907,5373,300000.0,5,53.04,5.0,66.66,77.49,88.32,0.749,14979.38,2023-07-20,53.04,STOP_LOSS,-15601.063920000044,-5.195159480519495,-1.0415024662884504,1
ACAD,2023-07-14,32.19609030532837,9317,300000.0,5,30.59,5.0,34.39,36.58,38.77,0.748,14963.94,2023-07-24,30.59,STOP_LOSS,-15577.97703000001,-5.1874715384615415,-1.0410342140355824,10
UAL,2023-07-21,57.63880561065673,5204,300000.0,5,55.15,4.33,60.96,64.29,67.61,0.648,12951.74,2023-07-25,55.15,STOP_LOSS,-13586.400600000052,-4.524275924075941,-1.0490016002977476,4
DASH,2023-07-25,85.44270152664184,3511,300000.0,5,82.0,4.03,90.04,94.63,99.22,0.604,12087.33,2023-07-31,90.74460591506958,PROFIT_TARGET_1,17985.70705644152,5.989246439041465,1.4879807539802143,6
TDW,2023-07-07,58.639305610656734,5116,300000.0,5,55.71,5.0,63.98,69.32,74.66,0.749,14986.33,2023-08-03,64.717625,PROFIT_TARGET_1,30464.27413049998,10.144613430069924,2.032804509452041,27
TTWO,2023-07-11,150.82537499999998,1989,300000.0,5,146.72,2.72,156.29,161.76,167.23,0.408,8165.59,2023-08-03,146.72,STOP_LOSS,-8765.746080000012,-2.9189963636363676,-1.073498074320317,23
GFF,2023-08-01,41.97591063308715,7146,300000.0,5,40.7,3.03,43.67,45.37,47.06,0.456,9117.66,2023-08-03,40.7,STOP_LOSS,-9748.642200000002,-3.2463010989010996,-1.069204707896096,2
APO,2023-08-04,82.53928063201904,3634,300000.0,5,80.06,3.01,85.85,89.16,92.48,0.45,9009.71,2023-08-08,80.06,STOP_LOSS,-9652.898039999942,-3.2144182617382424,-1.071388815164916,4
LRCX,2023-07-27,68.41562992858886,4384,300000.0,5,65.27,4.6,72.61,76.8,80.99,0.69,13790.44,2023-08-11,65.27,STOP_LOSS,-14442.463679999986,-4.8093452147852105,-1.0472807246969233,15
