date,equity,cash,positions_value,open_positions
2022-04-26,3133264.240685445,2733264.240685445,400000.0,2
2022-04-27,3124686.7744352673,2924686.7744352673,200000.0,1
2022-04-28,3124686.7744352673,2924686.7744352673,200000.0,1
2022-04-29,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-02,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-03,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-04,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-05,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-06,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-09,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-10,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-11,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-12,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-13,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-16,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-17,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-18,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-19,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-20,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-23,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-24,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-25,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-26,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-27,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-30,3114278.6128152674,3114278.6128152674,0.0,0
2022-05-31,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-01,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-02,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-03,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-06,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-07,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-08,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-09,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-10,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-13,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-14,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-15,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-16,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-17,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-20,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-21,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-22,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-23,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-24,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-27,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-28,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-29,3114278.6128152674,3114278.6128152674,0.0,0
2022-06-30,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-01,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-04,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-05,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-06,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-07,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-08,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-11,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-12,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-13,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-14,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-15,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-18,3114278.6128152674,3114278.6128152674,0.0,0
2022-07-19,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-20,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-21,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-22,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-25,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-26,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-27,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-28,3113878.6128152674,2713878.6128152674,400000.0,2
2022-07-29,3102865.4368152674,2902865.4368152674,200000.0,1
2022-08-01,3102665.4368152674,2702665.4368152674,400000.0,2
2022-08-02,3102665.4368152674,2702665.4368152674,400000.0,2
2022-08-03,3102665.4368152674,2702665.4368152674,400000.0,2
2022-08-04,3102665.4368152674,2702665.4368152674,400000.0,2
2022-08-05,3112801.3691103975,2912801.3691103975,200000.0,1
2022-08-08,3112601.3691103975,2712601.3691103975,400000.0,2
2022-08-09,3112601.3691103975,2712601.3691103975,400000.0,2
2022-08-10,3139554.80946034,3139554.80946034,0.0,0
2022-08-11,3139354.80946034,2939354.80946034,200000.0,1
2022-08-12,3139354.80946034,2939354.80946034,200000.0,1
2022-08-15,3139354.80946034,2939354.80946034,200000.0,1
2022-08-16,3139354.80946034,2939354.80946034,200000.0,1
2022-08-17,3139354.80946034,2939354.80946034,200000.0,1
2022-08-18,3139354.80946034,2939354.80946034,200000.0,1
2022-08-19,3139354.80946034,2939354.80946034,200000.0,1
2022-08-22,3139154.80946034,2739154.80946034,400000.0,2
2022-08-23,3139154.80946034,2739154.80946034,400000.0,2
2022-08-24,3139154.80946034,2739154.80946034,400000.0,2
2022-08-25,3139154.80946034,2739154.80946034,400000.0,2
2022-08-26,3163401.3118995707,2963401.3118995707,200000.0,1
2022-08-29,3163201.3118995707,2763201.3118995707,400000.0,2
2022-08-30,3163201.3118995707,2763201.3118995707,400000.0,2
2022-08-31,3163201.3118995707,2763201.3118995707,400000.0,2
2022-09-01,3134786.025229571,3134786.025229571,0.0,0
2022-09-02,3134786.025229571,3134786.025229571,0.0,0
2022-09-05,3134786.025229571,3134786.025229571,0.0,0
2022-09-06,3134786.025229571,3134786.025229571,0.0,0
2022-09-07,3134786.025229571,3134786.025229571,0.0,0
2022-09-08,3134786.025229571,3134786.025229571,0.0,0
2022-09-09,3134386.025229571,2734386.025229571,400000.0,2
2022-09-12,3134386.025229571,2734386.025229571,400000.0,2
2022-09-13,3134386.025229571,2734386.025229571,400000.0,2
2022-09-14,3134386.025229571,2734386.025229571,400000.0,2
2022-09-15,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-16,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-19,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-20,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-21,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-22,3120202.9023495708,2920202.9023495708,200000.0,1
2022-09-23,3105998.0412295708,3105998.0412295708,0.0,0
2022-09-26,3105998.0412295708,3105998.0412295708,0.0,0
2022-09-27,3105998.0412295708,3105998.0412295708,0.0,0
2022-09-28,3105998.0412295708,3105998.0412295708,0.0,0
2022-09-29,3105998.0412295708,3105998.0412295708,0.0,0
2022-09-30,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-03,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-04,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-05,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-06,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-07,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-10,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-11,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-12,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-13,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-14,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-17,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-18,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-19,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-20,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-21,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-24,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-25,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-26,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-27,3105998.0412295708,3105998.0412295708,0.0,0
2022-10-28,3105398.0412295708,2505398.0412295708,600000.0,3
2022-10-31,3104798.0412295708,1904798.0412295708,1200000.0,6
2022-11-01,3104198.0412295708,1304198.0412295708,1800000.0,9
2022-11-02,3104198.0412295708,1304198.0412295708,1800000.0,9
2022-11-03,3104198.0412295708,1304198.0412295708,1800000.0,9
2022-11-04,3104198.0412295708,1304198.0412295708,1800000.0,9
2022-11-07,3112682.826334617,1712682.8263346173,1400000.0,7
2022-11-08,3132687.4917646977,1332687.4917646977,1800000.0,9
2022-11-09,3091058.4418846974,1891058.4418846976,1200000.0,6
2022-11-10,3118958.3807839034,1518958.3807839034,1600000.0,8
2022-11-11,3108248.8204639032,1308248.8204639035,1800000.0,9
2022-11-14,3108048.8204639032,1108048.8204639035,2000000.0,10
2022-11-15,3093573.3901839033,1293573.3901839035,1800000.0,9
2022-11-16,3093373.3901839033,1093373.3901839035,2000000.0,10
2022-11-17,3114938.7482451103,1314938.7482451103,1800000.0,9
2022-11-18,3114738.7482451103,1114738.7482451103,2000000.0,10
2022-11-21,3114738.7482451103,1114738.7482451103,2000000.0,10
2022-11-22,3143302.6542803803,1543302.6542803803,1600000.0,8
2022-11-23,3142902.6542803803,1142902.6542803803,2000000.0,10
2022-11-24,3142902.6542803803,1142902.6542803803,2000000.0,10
2022-11-25,3142902.6542803803,1142902.6542803803,2000000.0,10
2022-11-28,3104129.55559038,1704129.5555903802,1400000.0,7
2022-11-29,3133659.7624410414,1333659.7624410414,1800000.0,9
2022-11-30,3168284.362231873,1568284.3622318732,1600000.0,8
2022-12-01,3167884.362231873,1167884.3622318732,2000000.0,10
2022-12-02,3168236.369452354,1568236.369452354,1600000.0,8
2022-12-05,3167836.369452354,1167836.369452354,2000000.0,10
2022-12-06,3153648.980842354,1353648.980842354,1800000.0,9
2022-12-07,3139264.898922354,1339264.898922354,1800000.0,9
2022-12-08,3115037.9495223537,1515037.949522354,1600000.0,8
2022-12-09,3114637.9495223537,1114637.949522354,2000000.0,10
2022-12-12,3114637.9495223537,1114637.949522354,2000000.0,10
2022-12-13,3114637.9495223537,1114637.949522354,2000000.0,10
2022-12-14,3114637.9495223537,1114637.949522354,2000000.0,10
2022-12-15,3100442.9585223543,1300442.958522354,1800000.0,9
2022-12-16,3100442.9585223543,1300442.958522354,1800000.0,9
2022-12-19,3100442.9585223543,1300442.958522354,1800000.0,9
2022-12-20,3100442.9585223543,1300442.958522354,1800000.0,9
2022-12-21,3152944.189557207,1552944.1895572066,1600000.0,8
2022-12-22,3152944.189557207,1552944.1895572066,1600000.0,8
2022-12-23,3152944.189557207,1552944.1895572066,1600000.0,8
2022-12-26,3152944.189557207,1552944.1895572066,1600000.0,8
2022-12-27,3130238.7357605034,1930238.7357605037,1200000.0,6
2022-12-28,3095496.232440504,2495496.232440504,600000.0,3
2022-12-29,3095496.232440504,2495496.232440504,600000.0,3
2022-12-30,3095496.232440504,2495496.232440504,600000.0,3
2023-01-02,3095496.232440504,2495496.232440504,600000.0,3
2023-01-03,3086051.0697738472,2686051.0697738472,400000.0,2
2023-01-04,3086051.0697738472,2686051.0697738472,400000.0,2
2023-01-05,3079635.329986253,2879635.329986253,200000.0,1
2023-01-06,3079635.329986253,2879635.329986253,200000.0,1
2023-01-09,3079635.329986253,2879635.329986253,200000.0,1
2023-01-10,3102551.7465975285,2502551.7465975285,600000.0,3
2023-01-11,3101951.7465975285,1901951.7465975285,1200000.0,6
2023-01-12,3101351.7465975285,1301351.7465975285,1800000.0,9
2023-01-13,3101151.7465975285,1101151.7465975285,2000000.0,10
2023-01-16,3101151.7465975285,1101151.7465975285,2000000.0,10
2023-01-17,3101151.7465975285,1101151.7465975285,2000000.0,10
2023-01-18,3101151.7465975285,1101151.7465975285,2000000.0,10
2023-01-19,3093910.3949975288,1293910.3949975285,1800000.0,9
2023-01-20,3093710.3949975288,1093710.3949975285,2000000.0,10
2023-01-23,3079493.7456775284,1279493.7456775284,1800000.0,9
2023-01-24,3079293.7456775284,1079293.7456775284,2000000.0,10
2023-01-25,3090566.6381507455,1290566.6381507455,1800000.0,9
2023-01-26,3090366.6381507455,1090366.6381507455,2000000.0,10
2023-01-27,3090366.6381507455,1090366.6381507455,2000000.0,10
2023-01-30,3090366.6381507455,1090366.6381507455,2000000.0,10
2023-01-31,3090366.6381507455,1090366.6381507455,2000000.0,10
2023-02-01,3115198.8057713695,1515198.8057713695,1600000.0,8
2023-02-02,3099447.0025413698,1499447.0025413695,1600000.0,8
2023-02-03,3092909.9207366034,1292909.9207366034,1800000.0,9
2023-02-06,3092709.9207366034,1092709.9207366034,2000000.0,10
2023-02-07,3092709.9207366034,1092709.9207366034,2000000.0,10
2023-02-08,3079174.6293766033,1279174.6293766035,1800000.0,9
2023-02-09,3097082.041429542,1697082.0414295418,1400000.0,7
2023-02-10,3096482.041429542,1096482.0414295418,2000000.0,10
2023-02-13,3105945.4358504945,1305945.4358504948,1800000.0,9
2023-02-14,3105745.4358504945,1105745.4358504948,2000000.0,10
2023-02-15,3105745.4358504945,1105745.4358504948,2000000.0,10
2023-02-16,3105745.4358504945,1105745.4358504948,2000000.0,10
2023-02-17,3105745.4358504945,1105745.4358504948,2000000.0,10
2023-02-20,3105745.4358504945,1105745.4358504948,2000000.0,10
2023-02-21,3084015.507130495,1484015.5071304948,1600000.0,8
2023-02-22,3077814.8733704947,1277814.8733704947,1800000.0,9
2023-02-23,3077614.8733704947,1077614.8733704947,2000000.0,10
2023-02-24,3066039.832905744,1666039.8329057444,1400000.0,7
2023-02-27,3065439.832905744,1065439.8329057444,2000000.0,10
2023-02-28,3053838.8850657446,1453838.8850657444,1600000.0,8
2023-03-01,3092487.8701596563,1292487.8701596563,1800000.0,9
2023-03-02,3092287.8701596563,1092287.8701596563,2000000.0,10
2023-03-03,3108005.778236502,1308005.7782365016,1800000.0,9
2023-03-06,3107805.778236502,1107805.7782365016,2000000.0,10
2023-03-07,3097848.1456365017,1297848.1456365017,1800000.0,9
2023-03-08,3097648.1456365017,1097648.1456365017,2000000.0,10
2023-03-09,3088331.4675914254,1688331.4675914256,1400000.0,7
2023-03-10,3058480.3979414254,2258480.3979414254,800000.0,4
2023-03-13,3049792.5542814257,2449792.5542814257,600000.0,3
2023-03-14,3049192.5542814257,1849192.5542814257,1200000.0,6
2023-03-15,3039975.5702914256,2039975.5702914256,1000000.0,5
2023-03-16,3039375.5702914256,1439375.5702914256,1600000.0,8
2023-03-17,3038975.5702914256,1038975.5702914256,2000000.0,10
2023-03-20,3038975.5702914256,1038975.5702914256,2000000.0,10
2023-03-21,3050240.5776792048,1250240.5776792048,1800000.0,9
2023-03-22,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-23,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-24,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-27,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-28,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-29,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-30,3050040.5776792048,1050040.5776792048,2000000.0,10
2023-03-31,3062899.4172269246,1262899.4172269246,1800000.0,9
2023-04-03,3071136.6149324933,1271136.6149324935,1800000.0,9
2023-04-04,3070936.6149324933,1070936.6149324935,2000000.0,10
2023-04-05,3083751.177977844,1283751.177977844,1800000.0,9
2023-04-06,3083551.177977844,1083551.177977844,2000000.0,10
2023-04-07,3083551.177977844,1083551.177977844,2000000.0,10
2023-04-10,3083551.177977844,1083551.177977844,2000000.0,10
2023-04-11,3083551.177977844,1083551.177977844,2000000.0,10
2023-04-12,3095664.9326465335,1295664.9326465337,1800000.0,9
2023-04-13,3108792.6406028946,1308792.6406028946,1800000.0,9
2023-04-14,3108592.6406028946,1108592.6406028946,2000000.0,10
2023-04-17,3108592.6406028946,1108592.6406028946,2000000.0,10
2023-04-18,3122236.878809334,1322236.8788093338,1800000.0,9
2023-04-19,3140904.1193704847,1340904.1193704845,1800000.0,9
2023-04-20,3160899.739996233,1360899.7399962328,1800000.0,9
2023-04-21,3160699.739996233,1160699.7399962328,2000000.0,10
2023-04-24,3160699.739996233,1160699.7399962328,2000000.0,10
2023-04-25,3127694.4377362328,1727694.4377362328,1400000.0,7
2023-04-26,3127094.4377362328,1127094.4377362328,2000000.0,10
2023-04-27,3127094.4377362328,1127094.4377362328,2000000.0,10
2023-04-28,3128921.881336252,1528921.881336252,1600000.0,8
2023-05-01,3147818.188373632,1547818.1883736316,1600000.0,8
2023-05-02,3127738.2675936315,1527738.2675936318,1600000.0,8
