symbol,entry_date,exit_date,pnl_pct
INTU,2017-06-09,2017-06-26,-1.290888333997036
TSLA,2017-06-08,2017-06-27,-2.06216337553677
MAA,2017-06-09,2017-06-27,-0.4477816283024527
NVDA,2017-05-11,2017-06-28,20.086790750696203
CHD,2017-06-12,2017-06-28,-0.6049217329377309
WAT,2017-05-17,2017-06-29,4.84545958932079
COO,2017-06-05,2017-06-29,-1.565021124928024
ALL,2017-06-12,2017-06-29,0.2388422460499928
DXCM,2017-06-21,2017-06-29,-6.4598558275306885
JNJ,2017-06-12,2017-06-30,0.35652256312581637
RMD,2017-06-09,2017-07-05,4.8992932884111235
VTR,2017-06-26,2017-07-05,-3.8231604163428488
SHW,2017-06-27,2017-07-05,-1.9767691161892829
ABT,2017-06-12,2017-07-06,1.6324156093246693
MDT,2017-06-12,2017-07-06,0.09623131752510315
VRTX,2017-06-22,2017-07-06,-5.216551412313358
COR,2017-06-29,2017-07-06,-3.3939086116545956
DGX,2017-06-29,2017-07-07,-0.3278937468834843
CRL,2017-06-27,2017-07-10,-0.650652168118861
LH,2017-06-30,2017-07-11,-1.7321996797117947
PODD,2017-06-15,2017-07-18,6.050883020437626
PHM,2017-07-05,2017-07-18,-1.9480540402130542
LUV,2017-07-05,2017-07-19,-2.770752222196695
PKG,2017-06-26,2017-07-20,-0.5581677074118779
TT,2017-07-07,2017-07-21,-1.6943492506620343
SWK,2017-07-07,2017-07-24,-0.8350041011226136
AVY,2017-06-28,2017-07-25,2.8046867482330047
GLW,2017-06-28,2017-07-26,-0.2622618359640334
STZ,2017-06-29,2017-07-26,0.3060720304370937
RVTY,2017-07-03,2017-07-26,-2.3228722051456736
DHI,2017-07-07,2017-07-26,1.3970763958489
NVDA,2017-07-26,2017-07-27,-3.300287594584944
AMD,2017-06-09,2017-08-02,8.876222933957353
IT,2017-07-07,2017-08-02,1.148595980270071
CSGP,2017-07-10,2017-08-02,-0.11318875703381803
NTAP,2017-07-20,2017-08-02,-2.6681854897256065
NFLX,2017-07-21,2017-08-02,-4.137046818035737
LRCX,2017-07-26,2017-08-02,-9.97386733235067
TER,2017-07-24,2017-08-03,-6.5900012348569375
CBOE,2017-04-12,2017-08-04,15.35276974830009
MCO,2017-07-05,2017-08-08,3.0005017335682256
ALB,2017-08-02,2017-08-08,-3.382179727703906
BA,2017-07-11,2017-08-10,13.573945656422648
VRTX,2017-07-19,2017-08-10,-6.982283790348504
META,2017-07-27,2017-08-10,-1.7836329639395476
EQIX,2017-08-02,2017-08-11,-3.7499576520835367
AMP,2017-07-26,2017-08-17,-3.535467882424228
CAT,2017-07-25,2017-08-18,-0.5412819886650153
ALGN,2017-08-08,2017-08-18,-2.885609173905554
FSLR,2017-07-18,2017-08-21,4.40708452188767
TSLA,2017-08-03,2017-08-21,-2.6592535655628757
PGR,2017-06-09,2017-08-28,8.808659395912608
NVR,2017-07-07,2017-08-29,5.908025336459534
NRG,2017-07-18,2017-08-29,6.662928592851576
BBY,2017-08-08,2017-08-29,-10.507485043448444
ROL,2017-08-22,2017-08-30,-2.1894800938181325
V,2017-08-02,2017-09-05,1.8719174808979728
APO,2017-08-10,2017-09-05,-1.2418193071400776
ATO,2017-08-02,2017-09-06,-1.7095990395878427
ANET,2017-08-04,2017-09-06,0.3952296795813992
AAPL,2017-08-02,2017-09-08,1.3446283546402962
SBAC,2017-08-22,2017-09-12,2.8505007964281215
CRL,2017-08-29,2017-09-15,-0.3852331682173604
MOH,2017-09-05,2017-09-19,-5.0443279263603635
PODD,2017-08-17,2017-09-21,4.727002436429868
EL,2017-08-18,2017-09-22,1.8941844546290638
ISRG,2017-09-05,2017-09-22,0.9868445376846338
TMO,2017-09-06,2017-09-22,-0.5081194290869845
TTWO,2017-07-26,2017-09-25,19.83796199819708
NFLX,2017-09-21,2017-09-25,-5.419004022507159
TER,2017-08-30,2017-09-26,-0.5004611103599682
AMCR,2017-08-18,2017-09-27,-0.6980902506417421
ABBV,2017-09-06,2017-09-27,9.99353886718213
XYL,2017-08-02,2017-09-28,4.529953933194373
GILD,2017-09-08,2017-09-28,-4.3290811004233145
APTV,2017-09-25,2017-09-28,-5.5195751617635525
LYV,2017-08-10,2017-10-03,7.700073693670857
KMX,2017-09-22,2017-10-16,1.711816419024145
ODFL,2017-09-22,2017-10-16,2.3156503981249568
IEX,2017-09-26,2017-10-17,1.1860312539508815
LIN,2017-09-28,2017-10-18,-0.8223268392523146
CZR,2017-08-10,2017-10-20,13.082043737239585
TPL,2017-08-29,2017-10-23,3.7235297501057163
MTCH,2017-08-29,2017-10-24,28.947375212858596
URI,2017-10-16,2017-10-25,-4.719113216827699
ABBV,2017-09-28,2017-10-26,1.3767921683142248
TROW,2017-09-28,2017-10-27,4.271602478818719
GM,2017-10-03,2017-10-27,2.738753974369949
CTAS,2017-10-16,2017-10-30,-1.3225897242559368
GNRC,2017-09-19,2017-11-01,9.079086648262441
ALB,2017-09-15,2017-11-02,7.557529611448223
DELL,2017-09-12,2017-11-03,6.058971289361448
AMAT,2017-09-27,2017-11-09,13.595420236559832
INTC,2017-11-01,2017-11-15,-2.0993056462783746
ON,2017-10-24,2017-11-28,3.68188497349235
MU,2017-08-28,2017-11-29,40.733591969676745
LRCX,2017-09-27,2017-11-29,8.501047501656792
TER,2017-10-18,2017-11-29,4.090064506957515
ADBE,2017-10-20,2017-11-29,0.6889129572261321
PYPL,2017-10-26,2017-11-29,2.677325147401108
FSLR,2017-10-27,2017-11-29,4.0749130630002535
NVDA,2017-10-30,2017-11-29,-3.5731330478522985
ANSS,2017-11-02,2017-11-29,-1.4124232904059282
NRG,2017-11-15,2017-11-29,-3.9836642917552187
TDY,2017-09-22,2017-12-01,13.947715881591872
ALGN,2017-10-27,2017-12-01,7.68415897906712
BR,2017-09-25,2017-12-05,8.582618242050593
PODD,2017-11-03,2017-12-06,-0.9503183034071373
BLDR,2017-11-29,2017-12-06,0.3489516285534472
TSN,2017-11-29,2017-12-14,-1.235963378018835
ENPH,2017-11-09,2017-12-19,34.97267599378366
CME,2017-12-05,2017-12-20,-1.329004839153178
NTAP,2017-11-28,2017-12-21,-1.0387596030903838
ELV,2017-12-01,2017-12-22,-2.6074873936827623
TKO,2017-12-19,2017-12-22,-9.688253987282158
CBOE,2017-08-11,2017-12-26,30.186298301683216
LW,2017-10-23,2017-12-26,8.806990382536423
J,2017-12-06,2017-12-26,-2.4227927150913455
CPRT,2017-12-01,2017-12-28,0.4417634243689896
PHM,2017-10-25,2018-01-02,14.465635930488203
CZR,2017-11-29,2018-01-02,7.561598773696336
DLTR,2017-11-29,2018-01-04,4.532361482971446
KR,2017-12-22,2018-01-04,-4.495555893554908
GWW,2017-11-29,2018-01-10,6.9105452761576664
CF,2017-12-26,2018-01-10,-1.0034797314897617
LULU,2017-12-22,2018-01-16,-2.2681018508572035
MTCH,2018-01-02,2018-01-17,-2.563327828624532
FANG,2017-12-26,2018-01-18,1.0002465959449371
DHI,2017-10-17,2018-01-19,24.38499520111238
UNP,2017-12-20,2018-01-25,-0.8018870946815037
CAT,2018-01-10,2018-01-25,2.5840004519603292
LEN,2017-11-29,2018-01-26,9.13203522408043
NWSA,2017-11-29,2018-01-30,4.281338972359587
HWM,2018-01-04,2018-01-30,2.0463709650672204
NDSN,2018-01-04,2018-01-30,-3.6289725015289256
HES,2018-01-10,2018-01-30,-4.679246484446053
TSCO,2017-11-29,2018-01-31,9.933682354774826
BLK,2017-12-06,2018-01-31,9.765156588005103
TGT,2017-12-26,2018-01-31,14.281379115507598
STLD,2017-12-28,2018-01-31,3.6057052317361045
BBY,2017-12-21,2018-02-01,8.974347918977028
ZBRA,2018-01-18,2018-02-01,-1.4038816114632966
URI,2017-11-29,2018-02-02,9.794712224315418
FCX,2017-12-14,2018-02-02,10.994414163032554
STX,2018-01-16,2018-02-02,0.504748218147448
ON,2018-01-19,2018-02-02,-5.391375128235675
ISRG,2018-01-25,2018-02-02,-7.303081776169116
TPL,2018-01-02,2018-02-05,8.751845805546056
MOH,2018-01-17,2018-02-05,-4.762427775010759
KR,2018-01-30,2018-02-05,-7.65489181496779
NVDA,2018-01-31,2018-02-05,-13.059414476219647
BA,2018-01-31,2018-02-05,-7.193035264571261
TMO,2018-01-31,2018-02-05,-7.050115460084886
RF,2018-02-02,2018-02-05,-4.103937903062313
MA,2018-02-02,2018-02-05,-3.4945946819611233
HBAN,2018-02-02,2018-02-05,-4.042308330496388
NFLX,2018-01-25,2018-02-06,-1.4757177627685563
ABBV,2018-01-26,2018-02-06,-9.747572408561261
IDXX,2018-01-31,2018-02-06,-3.7371634331069234
NOW,2018-02-01,2018-02-06,-2.480199821140348
XYL,2018-02-02,2018-02-06,-5.722966451157408
AMZN,2018-01-30,2018-02-09,-6.831168800847552
ANET,2018-02-07,2018-02-16,-11.408987352142212
DECK,2018-02-02,2018-03-01,1.1214366925241466
MTCH,2018-02-07,2018-03-01,9.131288773157454
NOC,2018-02-14,2018-03-01,-2.8831100511890773
IPG,2018-02-15,2018-03-01,-7.362246318613569
MSCI,2018-02-15,2018-03-02,-3.3124529437001455
HII,2018-02-16,2018-03-05,-1.8542944756455022
BMY,2018-02-15,2018-03-07,-4.175143102715156
BBY,2018-03-01,2018-03-12,-4.316067575223478
LULU,2018-02-07,2018-03-14,-0.2963302507714883
TKO,2018-01-30,2018-03-15,5.857658083142054
EBAY,2018-02-01,2018-03-19,-8.876394799618804
HCA,2018-01-30,2018-03-20,-0.49494132197990076
CRM,2018-03-01,2018-03-21,1.9006889568932805
SPGI,2018-02-07,2018-03-22,3.773968238552384
CME,2018-02-15,2018-03-22,-2.5935223936565808
NFLX,2018-03-02,2018-03-22,1.8767728427705521
ZBRA,2018-03-14,2018-03-22,-5.790585454576073
TPR,2018-02-14,2018-03-23,3.163615963026252
EL,2018-02-14,2018-03-23,3.186406755794143
WDAY,2018-03-02,2018-03-23,-2.7726991342892005
LRCX,2018-03-12,2018-03-23,-11.37984867289969
STX,2018-03-20,2018-03-23,-6.059111676723675
MU,2018-03-05,2018-03-26,6.784531150783249
PGR,2018-03-19,2018-03-26,-1.6486448342674918
MTCH,2018-03-07,2018-03-27,0.9586890642954466
FTNT,2018-02-06,2018-03-28,12.333484799662301
PAYC,2018-03-02,2018-03-28,2.6046177279498113
MSCI,2018-03-22,2018-03-28,-3.573929922368688
MTCH,2018-03-27,2018-03-28,-2.419185381189232
CPRT,2018-03-27,2018-03-28,-0.32006369681925684
FANG,2018-03-23,2018-04-02,-4.454486034322744
TPR,2018-03-27,2018-04-02,-3.06906134607824
TECH,2018-03-29,2018-04-02,-4.065174317364737
ENPH,2018-02-07,2018-04-03,67.58892565477235
PODD,2018-03-21,2018-04-04,-2.48381926654863
DPZ,2018-03-28,2018-04-04,-1.0347713794608078
CHRW,2018-04-04,2018-04-06,-4.111895922217981
POOL,2018-02-15,2018-04-19,-1.3113469475988138
RL,2018-03-22,2018-04-19,2.7257879859256486
LEN,2018-04-04,2018-04-19,-11.461331250069094
NKE,2018-04-04,2018-04-19,-3.9316111314547944
TGT,2018-04-06,2018-04-19,-1.8121273744344912
EL,2018-03-26,2018-04-23,-0.17542253899301247
KDP,2018-03-26,2018-04-24,0.32087301013391045
GWW,2018-04-05,2018-04-24,-4.837100278649175
LHX,2018-03-26,2018-04-25,-0.5614705291800237
WYNN,2018-04-24,2018-04-25,-3.7421144849639645
AXON,2018-02-14,2018-04-27,49.03295306822508
