symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar
TMUS,2022-07-27,2022-08-24,137.29063415527344,141.5970916748047,48,3.1367453038790085,206.7099609375
MCK,2022-07-25,2022-08-26,331.0504455566406,351.3250732421875,20,6.124331792230745,405.4925537109375
SO,2022-08-12,2022-08-29,70.43081665039062,70.93567657470703,95,0.7168167974289791,47.961692810058594
CEG,2022-07-28,2022-08-30,62.958736419677734,77.81656646728516,106,23.599314237449676,1574.9299850463867
WM,2022-08-15,2022-08-30,164.823486328125,162.94332885742188,41,-1.1407096843954456,-77.08645629882812
XOM,2022-08-23,2022-09-16,89.27861022949219,84.91487121582031,75,-4.8877765933573665,-327.2804260253906
CEG,2022-09-02,2022-09-23,79.16412353515625,81.8787612915039,84,3.4291262697326577,228.02957153320312
NFLX,2022-10-19,2022-11-04,272.3800048828125,260.7900085449219,24,-4.25508338722479,-278.159912109375
CEG,2022-10-27,2022-11-08,90.85272216796875,85.48201751708984,74,-5.911440541043485,-397.43214416503906
MCK,2022-10-25,2022-11-10,377.1318054199219,365.1895751953125,17,-3.166593231592376,-203.01791381835938
TMUS,2022-10-28,2022-11-11,147.12147521972656,142.4350128173828,46,-3.1854373369655917,-215.5772705078125
NFLX,2022-11-14,2022-11-29,299.2699890136719,280.9599914550781,22,-6.118220413259437,-402.8199462890625
COST,2022-11-22,2022-12-01,511.9824523925781,484.94671630859375,13,-5.280598184106103,-351.4645690917969
XOM,2022-10-05,2022-12-05,90.2989273071289,98.1246109008789,74,8.666419222382256,579.1005859375
CEG,2022-11-22,2022-12-05,94.15058898925781,88.07730865478516,71,-6.450602592794817,-431.2029037475586
TT,2022-11-08,2022-12-06,164.52276611328125,168.25296020507812,41,2.267281410299454,152.93795776367188
WMT,2022-11-21,2022-12-06,48.603126525878906,48.197967529296875,139,-0.833606859357706,-56.317100524902344
ORCL,2022-11-22,2022-12-06,79.26414489746094,76.1657943725586,85,-3.908892890865707,-263.3597946166992
LLY,2022-10-21,2022-12-13,333.0630187988281,351.52630615234375,20,5.543481657045675,369.2657470703125
SBUX,2022-11-04,2022-12-15,86.10735321044922,94.2668685913086,78,9.475979781793141,636.4421997070312
CTAS,2022-11-10,2022-12-15,109.16415405273438,109.44771575927734,61,0.2597571602176182,17.297264099121094
NFLX,2022-12-01,2022-12-15,316.95001220703125,290.4100036621094,21,-8.373562871985625,-557.3401794433594
TT,2022-12-13,2022-12-15,171.31442260742188,166.0565185546875,39,-3.0691543494754105,-205.05825805664062
